wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;15;0;1;0;t0;6;0;0;0;8;0
dolnoœl¹skie;4152613;8853;1513624;1672;t02;1778691;1149;15740;77;844558;5955
kujawsko-pomorskie;2812401;6754;1022214;1318;t04;1206801;824;11449;26;571937;4586
lubelskie;2404239;5399;894246;1090;t06;1044086;626;12869;47;453038;3636
lubuskie;1448683;3781;523533;735;t08;637835;548;5022;3;282293;2495
³ódzkie;3395518;7498;1256316;1608;t10;1450262;947;17729;83;671211;4860
ma³opolskie;4327660;8826;1617692;1742;t12;1880055;979;12979;29;816934;6076
mazowieckie;8247352;15827;3019818;3148;t14;3512286;1793;38511;114;1676737;10772
opolskie;1214568;2436;451551;556;t16;524041;368;4658;87;234318;1425
podkarpackie;2146661;3637;816560;874;t18;960584;479;7777;35;361740;2249
podlaskie;1465976;2768;552126;494;t20;643992;425;5585;27;264273;1822
pomorskie;3435328;7759;1258965;1596;t22;1472693;1004;14106;81;689564;5078
œl¹skie;6133471;12179;2248482;2683;t24;2628912;1335;19193;44;1236884;8117
œwiêtokrzyskie;1476602;3885;546499;794;t26;643060;443;5955;28;281088;2620
warmiñsko-mazurskie;1796688;5523;661808;1070;t28;774838;728;9850;11;350192;3714
wielkopolskie;5008686;13345;1859158;2593;t30;2143786;1638;19291;35;986451;9079
zachodniopomorskie;2421159;4796;874218;878;t32;1047523;611;10253;17;489165;3290
ca³y kraj;51887620;113266;19116811;22851;t00;22349451;13897;210967;744;10210391;75774
