wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;18;0;4;0;t0;8;0;0;0;6;0
dolnoœl¹skie;3988254;14594;1492925;2041;t02;1757005;1771;15061;35;723263;10747
kujawsko-pomorskie;2698006;10077;1006213;1129;t04;1190703;1336;11197;50;489893;7562
lubelskie;2318998;8803;883735;1069;t06;1033090;1029;12526;51;389647;6654
lubuskie;1394616;4655;515777;821;t08;629424;678;4931;26;244484;3130
³ódzkie;3265457;11905;1239724;1610;t10;1433328;1567;16979;114;575426;8614
ma³opolskie;4168221;13936;1595555;1865;t12;1859298;1713;12297;79;701071;10279
mazowieckie;7931017;28027;2975413;4246;t14;3471868;3248;36511;110;1447225;20423
opolskie;1171115;4838;445420;590;t16;517787;616;4174;24;203734;3608
podkarpackie;2084381;6788;807726;961;t18;951236;929;7394;22;318025;4876
podlaskie;1420865;4725;546161;602;t20;636966;626;5287;3;232451;3494
pomorskie;3297715;11938;1239176;1981;t22;1452795;1590;13510;98;592234;8269
œl¹skie;5904570;21496;2219314;3076;t24;2597989;2554;18342;114;1068925;15752
œwiêtokrzyskie;1418690;5053;539617;553;t26;634922;600;5540;52;238611;3848
warmiñsko-mazurskie;1720527;7377;651997;970;t28;763433;834;9419;27;295678;5546
wielkopolskie;4788466;17549;1827880;2625;t30;2112869;2510;18447;26;829270;12388
zachodniopomorskie;2333172;7666;862793;1154;t32;1035133;997;9955;21;425291;5494
ca³y kraj;49904088;179427;18849430;25293;t00;22077854;22598;201570;852;8775234;130684
