wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;14;0;0;0;t0;6;0;0;0;8;0
dolnoœl¹skie;4286558;1453;1548249;345;t02;1794232;103;16601;7;927476;998
kujawsko-pomorskie;2904455;876;1046841;192;t04;1216879;75;11892;2;628843;607
lubelskie;2470684;574;911327;149;t06;1052230;72;13275;0;493852;353
lubuskie;1494564;421;535865;95;t08;643389;38;5308;0;310002;288
³ódzkie;3497662;925;1284341;302;t10;1462536;97;18446;6;732339;520
ma³opolskie;4469658;1657;1651994;276;t12;1894158;153;13872;3;909634;1225
mazowieckie;8498908;2815;3087069;583;t14;3543695;295;39730;16;1828414;1921
opolskie;1250609;371;461576;55;t16;528265;28;4958;4;255810;284
podkarpackie;2198895;448;830600;104;t18;967136;59;8287;2;392872;283
podlaskie;1503096;293;562216;64;t20;649044;34;5963;0;285873;195
pomorskie;3553989;1599;1291159;293;t22;1487157;123;14647;4;761026;1179
œl¹skie;6320888;2167;2295961;407;t24;2650065;257;20181;6;1354681;1497
œwiêtokrzyskie;1522938;427;558376;102;t26;648563;34;6298;2;309701;289
warmiñsko-mazurskie;1865917;576;679450;168;t28;784101;89;10406;1;391960;318
wielkopolskie;5192072;1516;1907568;364;t30;2163969;136;19875;5;1100660;1011
zachodniopomorskie;2495980;699;893277;162;t32;1056576;46;10462;1;535665;490
ca³y kraj;53526887;16817;19545869;3661;t00;22542001;1639;220201;59;11218816;11458
