wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;17;0;7;0;t0;6;0;0;0;4;0
dolnoœl¹skie;4298699;1445;1551182;279;t02;1795496;111;16687;7;935334;1048
kujawsko-pomorskie;2911562;816;1048744;197;t04;1217645;96;11909;0;633264;523
lubelskie;2475795;490;912744;101;t06;1052871;59;13338;0;496842;330
lubuskie;1498337;324;536892;58;t08;643816;23;5329;0;312300;243
³ódzkie;3505902;828;1286519;207;t10;1463447;66;18500;1;737436;554
ma³opolskie;4483698;1765;1654856;249;t12;1895456;119;13944;5;919442;1392
mazowieckie;8522846;2508;3092321;397;t14;3546682;229;39987;26;1843856;1856
opolskie;1254088;308;462514;57;t16;528676;46;4977;3;257921;202
podkarpackie;2203560;475;831679;75;t18;967795;80;8302;0;395784;320
podlaskie;1506117;251;562952;42;t20;649551;33;6000;0;287614;176
pomorskie;3565007;1392;1293857;265;t22;1488347;118;14695;4;768108;1005
œl¹skie;6339207;1910;2299949;298;t24;2651878;140;20265;2;1367115;1470
œwiêtokrzyskie;1526258;315;559372;65;t26;648955;54;6316;0;311615;196
warmiñsko-mazurskie;1870865;465;680924;126;t28;784605;38;10422;1;394914;300
wielkopolskie;5206401;1402;1911207;270;t30;2165517;119;19962;16;1109715;997
zachodniopomorskie;2502106;714;894835;119;t32;1057281;68;10493;4;539497;523
ca³y kraj;53670465;15408;19580554;2805;t00;22558024;1399;221126;69;11310761;11135
