wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;25;0;0;0;t0
dolnoœl¹skie;2686087;11189;1236996;8210;t02
kujawsko-pomorskie;1776193;8476;808550;6189;t04
lubelskie;1527699;6612;706305;4247;t06
lubuskie;905565;3757;420849;2393;t08
³ódzkie;2178996;8661;1007107;6598;t10
ma³opolskie;2802497;14378;1280655;10366;t12
mazowieckie;5189595;22942;2390070;16882;t14
opolskie;798064;2918;374102;1980;t16
podkarpackie;1425938;4929;666237;2640;t18
podlaskie;956470;2708;449524;1762;t20
pomorskie;2168633;9816;1003646;6945;t22
œl¹skie;3997435;17641;1841887;13173;t24
œwiêtokrzyskie;937097;4434;426330;3008;t26
warmiñsko-mazurskie;1114915;7103;513215;5426;t28
wielkopolskie;3095482;19196;1418010;15478;t30
zachodniopomorskie;1523002;7056;696487;5163;t32
ca³y kraj;33083693;151816;15239970;110460;t00
