wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;15;0;3;0;t0;7;0;0;0;5;0
dolnoœl¹skie;3817372;1192;1469639;76;t02;1735030;148;14628;0;598075;968
kujawsko-pomorskie;2578843;1174;989621;32;t04;1174917;67;10455;1;403850;1074
lubelskie;2233131;521;872374;92;t06;1021916;62;12188;0;326653;367
lubuskie;1338299;526;507070;36;t08;621122;93;4792;0;205315;397
³ódzkie;3129231;1655;1221470;192;t10;1415487;168;16313;0;475961;1295
ma³opolskie;3988184;2015;1569540;242;t12;1836993;226;11465;1;570186;1546
mazowieckie;7582094;6215;2917610;985;t14;3424795;707;35321;3;1204368;4520
opolskie;1121294;145;438335;5;t16;511386;12;3591;1;167982;127
podkarpackie;2012989;152;797174;13;t18;940654;17;7057;0;268104;122
podlaskie;1370849;299;538628;50;t20;629716;45;4981;2;197524;202
pomorskie;3152295;1933;1217379;87;t22;1429470;209;12734;3;492712;1634
œl¹skie;5649084;3174;2186529;312;t24;2566394;321;16826;1;879335;2540
œwiêtokrzyskie;1361374;673;532824;26;t26;627404;55;5313;0;195833;592
warmiñsko-mazurskie;1644589;173;641604;19;t28;752278;26;9074;1;241633;127
wielkopolskie;4557354;4067;1791863;537;t30;2080244;918;17985;3;667262;2609
zachodniopomorskie;2238013;836;849265;46;t32;1021926;63;9654;1;357168;726
ca³y kraj;47775010;24750;18540928;2750;t00;21789739;3137;192377;17;7251966;18846
