wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;17121;610;1637;10;
dolnośląskie;848446;20275;215916;3699;t02
kujawsko-pomorskie;505050;13845;122075;2152;t04
lubelskie;555285;12396;152660;2882;t06
lubuskie;264638;6630;65111;1485;t08
łódzkie;658199;15167;170353;2856;t10
małopolskie;819607;21888;203838;4114;t12
mazowieckie;1563838;35211;393571;6882;t14
opolskie;245038;6732;65739;1149;t16
podkarpackie;516771;11511;136375;2387;t18
podlaskie;330309;8157;89276;2110;t20
pomorskie;646915;16809;171661;2523;t22
śląskie;1132625;28740;271284;4016;t24
świętokrzyskie;284748;8141;72209;1484;t26
warmińsko-mazurskie;355877;8547;89895;2040;t28
wielkopolskie;871761;22624;214907;3284;t30
zachodniopomorskie;453482;13298;106605;2086;t32
cały kraj;10069710;250581;2543112;45159;t00
