data;liczba_szczepien_dziennie;dawka_2_dziennie
2020-12-27;2178;0
2020-12-28;4395;0
2020-12-29;10101;0
2020-12-30;20454;1
2020-12-31;10631;0
2021-01-01;1345;2
2021-01-02;2260;0
2021-01-03;653;0
2021-01-04;40782;1
2021-01-05;55521;2
2021-01-06;18796;0
2021-01-07;30449;0
2021-01-08;11850;0
2021-01-09;2256;0
2021-01-10;995;0
2021-01-11;47709;3
2021-01-12;63578;0
2021-01-13;55157;0
2021-01-14;46668;1
2021-01-15;26302;0
2021-01-16;21043;18
2021-01-17;12099;419
2021-01-18;28491;2939
2021-01-19;49563;8164
2021-01-20;51270;14431
2021-01-21;53334;14854
2021-01-22;38328;5265
2021-01-23;16734;1358
2021-01-24;5329;557
2021-01-25;73715;29601
2021-01-26;133113;48372
2021-01-27;104523;26589
2021-01-28;89587;29482
2021-01-29;43955;16161
2021-01-30;16291;3112
2021-01-31;8690;1387
2021-02-01;57227;33323
2021-02-02;115428;57685
2021-02-03;122258;55909
2021-02-04;107569;51578
2021-02-05;52083;29566
2021-02-06;24711;15712
2021-02-07;16489;10168
2021-02-08;33200;11768
2021-02-09;90330;20431
2021-02-10;113680;44776
2021-02-11;112306;58997
2021-02-12;75950;43649
2021-02-13;35660;15157
2021-02-14;14722;4864
2021-02-15;36439;11773
2021-02-16;72144;33843
2021-02-17;155896;85006
2021-02-18;175317;94206
2021-02-19;103028;50143
2021-02-20;35836;7682
2021-02-21;16055;3613
2021-02-22;43245;4104
2021-02-23;71557;20421
2021-02-24;160587;76863
2021-02-25;174724;90502
2021-02-26;103478;45425
2021-02-27;44667;11759
2021-02-28;17811;5624
2021-03-01;46027;5405
2021-03-02;81991;21645
2021-03-03;156433;67780
2021-03-04;173483;85712
2021-03-05;108417;44607
2021-03-06;49368;12016
2021-03-07;17899;5348
2021-03-08;34396;3648
2021-03-09;63641;8398
2021-03-10;142503;42902
2021-03-11;161978;68173
2021-03-12;94669;39427
2021-03-13;29578;6724
2021-03-14;11786;3031
2021-03-15;25438;3575
2021-03-16;47628;10698
2021-03-17;133447;43749
2021-03-18;154726;66563
2021-03-19;89002;38777
2021-03-20;29630;10189
2021-03-21;10666;3057
2021-03-22;51519;3970
2021-03-23;117278;19771
2021-03-24;190728;49924
2021-03-25;214437;71508
2021-03-26;160769;40405
2021-03-27;91194;14887
2021-03-28;34962;6761
2021-03-29;79395;9768
2021-03-30;116978;16038
2021-03-31;189990;20680
2021-04-01;202621;19193
2021-04-02;149251;11044
2021-04-03;34078;2708
2021-04-04;3164;337
2021-04-05;3794;522
2021-04-06;123146;8018
2021-04-07;216587;7152
2021-04-08;253347;5516
2021-04-09;208678;4268
