wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;10;0;1;0;t0;5;0;0;0;4;0
dolnoœl¹skie;4356072;533;1559620;48;t02;1800649;46;16670;4;979133;435
kujawsko-pomorskie;2942153;254;1053814;22;t04;1220458;21;12002;0;655879;211
lubelskie;2496462;214;916548;21;t06;1055311;15;13517;3;511086;175
lubuskie;1514791;117;539736;20;t08;645577;9;5400;0;324078;88
³ódzkie;3542732;316;1292468;18;t10;1466875;20;18830;12;764559;266
ma³opolskie;4548712;765;1663270;46;t12;1901206;55;14031;0;970205;664
mazowieckie;8642269;1370;3109821;90;t14;3560876;139;40971;9;1930601;1132
opolskie;1267707;92;464968;6;t16;530332;5;5048;0;267359;81
podkarpackie;2222114;145;835024;20;t18;970192;11;8467;0;408431;114
podlaskie;1519013;106;565244;5;t20;651456;12;6102;4;296211;85
pomorskie;3613452;543;1301135;32;t22;1493116;40;15065;4;804136;467
œl¹skie;6423949;854;2311856;62;t24;2659075;71;20620;5;1432398;716
œwiêtokrzyskie;1539678;111;561649;3;t26;650460;20;6239;0;321330;88
warmiñsko-mazurskie;1889886;99;684446;10;t28;786395;12;10502;2;408543;75
wielkopolskie;5333869;574;1921556;42;t30;2235048;56;20607;6;1156658;470
zachodniopomorskie;2530911;327;899247;21;t32;1060169;33;10580;2;560915;271
ca³y kraj;54383780;6420;19680403;466;t00;22687200;565;224651;51;11791526;5338
