wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnoœl¹skie;2303269;26827;950260;21534;t02
kujawsko-pomorskie;1477504;16082;582708;11694;t04
lubelskie;1336217;13309;567916;10633;t06
lubuskie;776634;8678;325756;6652;t08
³ódzkie;1865586;21197;772257;16909;t10
ma³opolskie;2329533;28301;925570;20105;t12
mazowieckie;4362277;44905;1755587;34889;t14
opolskie;709338;6571;309358;5286;t16
podkarpackie;1285722;9633;573588;7586;t18
podlaskie;860566;5557;383221;4378;t20
pomorskie;1869523;17901;788458;12348;t22
œl¹skie;3408171;38021;1394997;29343;t24
œwiêtokrzyskie;795896;9837;324877;7463;t26
warmiñsko-mazurskie;935734;10386;381392;7741;t28
wielkopolskie;2538301;30134;1000109;20765;t30
zachodniopomorskie;1312171;12932;543316;10013;t32
ca³y kraj;28166442;300271;11579370;227339;t00
