wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
woj_puste;pow_puste;14;0;1;0;t00;6;0;0;0;7;0
dolnoœl¹skie;boles³awiecki;104377;134;37275;37;t0201;46583;11;137;0;20382;86
dolnoœl¹skie;dzier¿oniowski;100767;237;36162;39;t0202;41756;34;127;1;22722;163
dolnoœl¹skie;g³ogowski;101085;318;33865;72;t0203;41478;62;173;0;25569;184
dolnoœl¹skie;górowski;36904;6;13527;0;t0204;16294;0;62;0;7021;6
dolnoœl¹skie;jaworski;57904;234;20104;72;t0205;24947;20;39;0;12814;142
dolnoœl¹skie;jeleniogórski;70475;146;25882;39;t0206;31251;13;391;0;12951;94
dolnoœl¹skie;kamiennogórski;47225;121;16678;8;t0207;19281;13;102;0;11164;100
dolnoœl¹skie;k³odzki;183260;526;66391;111;t0208;77147;92;1109;20;38613;303
dolnoœl¹skie;legnicki;61915;255;21561;36;t0209;27222;26;265;0;12867;193
dolnoœl¹skie;lubañski;45522;194;14305;35;t0210;20048;19;108;0;11061;140
dolnoœl¹skie;lubiñski;172986;291;65678;77;t0211;73186;43;987;0;33135;171
dolnoœl¹skie;lwówecki;61254;194;22149;38;t0212;26235;14;311;0;12559;142
dolnoœl¹skie;milicki;48128;85;18210;36;t0213;20611;14;116;0;9191;35
dolnoœl¹skie;oleœnicki;158120;507;53535;68;t0214;66072;59;459;1;38054;379
dolnoœl¹skie;o³awski;56824;86;22571;11;t0215;25749;7;98;0;8406;68
dolnoœl¹skie;polkowicki;59671;148;20665;22;t0216;26764;11;48;0;12194;115
dolnoœl¹skie;strzeliñski;52644;137;19403;31;t0217;22385;11;520;0;10336;95
dolnoœl¹skie;œredzki;36603;187;12241;36;t0218;14239;32;480;0;9643;119
dolnoœl¹skie;œwidnicki;156463;355;53307;105;t0219;64060;39;1135;13;37961;198
dolnoœl¹skie;trzebnicki;86175;211;32189;20;t0220;34986;30;407;0;18593;161
dolnoœl¹skie;wa³brzyski;44257;61;16589;32;t0221;18332;5;256;0;9080;24
dolnoœl¹skie;wo³owski;61244;45;21489;3;t0222;27625;5;309;0;11821;37
dolnoœl¹skie;wroc³awski;151679;250;55324;40;t0223;62843;20;1176;0;32336;190
dolnoœl¹skie;z¹bkowicki;78792;112;28630;13;t0224;34092;11;321;1;15749;87
dolnoœl¹skie;zgorzelecki;90608;323;30628;67;t0225;38541;27;218;0;21221;229
dolnoœl¹skie;z³otoryjski;51465;136;17762;44;t0226;22001;20;211;0;11491;72
dolnoœl¹skie;Jelenia Góra;130820;359;48408;92;t0261;53410;29;456;0;28546;238
dolnoœl¹skie;Legnica;131090;361;47228;79;t0262;55358;38;453;0;28051;244
dolnoœl¹skie;Wroc³aw;1462580;2793;540615;550;t0264;626619;254;4578;0;290768;1989
