wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnoœl¹skie;2617941;21409;1188940;17527;t02
kujawsko-pomorskie;1722585;19722;771194;16384;t04
lubelskie;1492685;11791;683758;8863;t06
lubuskie;881929;6165;405495;4982;t08
³ódzkie;2120096;18128;965805;14315;t10
ma³opolskie;2703656;26172;1208938;21025;t12
mazowieckie;5046045;41628;2285397;33137;t14
opolskie;783695;5762;364886;4676;t16
podkarpackie;1400321;7392;652593;4968;t18
podlaskie;941165;5781;440277;4246;t20
pomorskie;2108796;17327;961606;13970;t22
œl¹skie;3891322;32628;1766070;26267;t24
œwiêtokrzyskie;909596;8977;407290;6806;t26
warmiñsko-mazurskie;1079408;11857;488177;9676;t28
wielkopolskie;2975379;31767;1328230;25845;t30
zachodniopomorskie;1484233;12093;670850;9396;t32
ca³y kraj;32158852;278599;14589506;222083;t00
