wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;12;0;0;0;t0;5;0;0;0;7;0
dolnoœl¹skie;4224335;4007;1530654;1237;t02;1787563;420;16247;8;889871;2342
kujawsko-pomorskie;2864001;2474;1034748;801;t04;1212837;248;11653;5;604763;1420
lubelskie;2441512;2152;903229;593;t06;1048813;230;13082;24;476388;1305
lubuskie;1474430;1195;529508;395;t08;641126;128;5187;3;298609;669
³ódzkie;3452664;2495;1270686;743;t10;1457477;298;18146;34;706355;1420
ma³opolskie;4404762;3713;1635712;910;t12;1888099;352;13326;21;867625;2430
mazowieckie;8382047;7269;3053699;2249;t14;3529593;678;39058;52;1759697;4290
opolskie;1233757;1354;456611;522;t16;526499;140;4835;17;245812;675
podkarpackie;2174817;1331;824028;328;t18;964144;154;8038;8;378607;841
podlaskie;1485823;1174;557226;353;t20;646812;110;5772;3;276013;708
pomorskie;3499997;2900;1275785;745;t22;1481148;341;14394;15;728670;1799
œl¹skie;6235550;5125;2273352;1421;t24;2640967;607;19687;41;1301544;3056
œwiêtokrzyskie;1502344;1211;552423;350;t26;646231;130;6182;3;297508;728
warmiñsko-mazurskie;1835215;1648;670521;385;t28;780388;180;10138;1;374168;1082
wielkopolskie;5110271;4964;1883372;1381;t30;2155395;472;19543;13;1051961;3098
zachodniopomorskie;2462307;2102;883712;580;t32;1052798;209;10326;1;515471;1312
ca³y kraj;52783844;45114;19335266;12993;t00;22459895;4697;215614;249;10773069;27175
