wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;16;0;4;0;t0;7;0;0;0;5;0
dolnoœl¹skie;4320527;1212;1555463;226;t02;1797782;119;16849;10;950433;857
kujawsko-pomorskie;2923924;767;1051565;142;t04;1218947;67;12008;7;641404;551
lubelskie;2484348;515;914785;116;t06;1053903;59;13434;4;502226;336
lubuskie;1505329;528;538354;97;t08;644641;61;5374;4;316960;366
³ódzkie;3520579;861;1289707;165;t10;1464936;116;18667;6;747269;574
ma³opolskie;4508221;1517;1658867;221;t12;1897942;166;14052;7;937360;1123
mazowieckie;8567003;2459;3100824;469;t14;3552523;320;40370;24;1873286;1646
opolskie;1259700;366;463813;115;t16;529407;25;5017;0;261463;226
podkarpackie;2210946;455;833342;107;t18;968748;76;8378;1;400478;271
podlaskie;1511490;269;564113;55;t20;650397;55;6064;9;290916;150
pomorskie;3583820;1111;1297675;230;t22;1490513;123;14793;8;780839;750
œl¹skie;6370547;1654;2305815;294;t24;2654888;171;20509;6;1389335;1183
œwiêtokrzyskie;1531908;259;560629;59;t26;649686;35;6242;0;315351;165
warmiñsko-mazurskie;1879806;474;683039;97;t28;785530;49;10468;0;400769;328
wielkopolskie;5232923;1634;1916712;260;t30;2169027;304;20167;18;1127017;1052
zachodniopomorskie;2513234;706;897161;124;t32;1058545;89;10555;6;546973;487
ca³y kraj;53924321;14787;19631868;2777;t00;22587422;1835;222947;110;11482084;10065
