wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;14;0;0;0;t0;7;0;0;0;7;0
dolnoœl¹skie;4272085;2360;1544117;666;t02;1792768;222;16514;8;918686;1464
kujawsko-pomorskie;2895475;1605;1044337;481;t04;1216027;155;11843;6;623268;963
lubelskie;2464218;1181;909350;341;t06;1051438;120;13257;5;490173;715
lubuskie;1489976;658;534339;155;t08;642878;69;5285;9;307474;425
³ódzkie;3487271;1670;1280694;577;t10;1461475;199;18403;7;726699;887
ma³opolskie;4454500;2448;1648489;551;t12;1892678;223;13779;2;899554;1672
mazowieckie;8472175;4159;3080131;1132;t14;3540409;368;39581;19;1812054;2640
opolskie;1246711;578;460426;168;t16;527844;61;4944;1;253497;348
podkarpackie;2193156;801;828995;205;t18;966363;84;8242;1;389556;511
podlaskie;1499098;610;561084;191;t20;648490;68;5908;5;283616;346
pomorskie;3540370;2340;1287139;659;t22;1485770;213;14600;12;752861;1456
œl¹skie;6299184;3224;2289963;992;t24;2647803;284;20033;17;1341385;1931
œwiêtokrzyskie;1518654;759;557106;214;t26;648067;86;6280;1;307201;458
warmiñsko-mazurskie;1858674;966;677165;360;t28;783239;96;10334;0;387936;510
wielkopolskie;5174405;2467;1902437;703;t30;2161632;225;19800;6;1090536;1533
zachodniopomorskie;2488158;1237;891115;292;t32;1055744;115;10440;4;530859;826
ca³y kraj;53354124;27063;19496887;7687;t00;22522632;2588;219243;103;11115362;16685
