wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;36916;422;6207;59;t0
dolnoœl¹skie;1312458;12659;358471;4200;t02
kujawsko-pomorskie;807876;6066;209232;1697;t04
lubelskie;824175;6380;244409;2968;t06
lubuskie;428127;3541;120210;838;t08
³ódzkie;1062368;7050;286992;1845;t10
ma³opolskie;1299857;14694;355141;5145;t12
mazowieckie;2430613;20360;682127;6964;t14
opolskie;411761;4424;103290;829;t16
podkarpackie;813209;6800;243006;2565;t18
podlaskie;524891;2734;147752;799;t20
pomorskie;1072826;13084;280666;2767;t22
œl¹skie;1893731;19403;507103;7528;t24
œwiêtokrzyskie;450407;3336;118418;1256;t26
warmiñsko-mazurskie;542240;4518;150740;1726;t28
wielkopolskie;1382907;9062;373101;2431;t30
zachodniopomorskie;749185;7584;192076;3459;t32
ca³y kraj;16043547;142117;4378941;47076;t00
