wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;25;0;0;0;t0
dolnoœl¹skie;2811688;6371;1312557;3421;t02
kujawsko-pomorskie;1879372;5958;873537;3363;t04
lubelskie;1600998;4699;747461;2420;t06
lubuskie;949839;2071;444599;993;t08
³ódzkie;2291582;5483;1076041;3110;t10
ma³opolskie;2961267;7623;1379654;4526;t12
mazowieckie;5447042;11752;2551972;7485;t14
opolskie;828805;1870;390921;1039;t16
podkarpackie;1487125;3678;695965;1879;t18
podlaskie;994042;1907;468888;987;t20
pomorskie;2286217;5977;1076247;3330;t22
œl¹skie;4184458;9114;1955474;5495;t24
œwiêtokrzyskie;993231;3581;460937;1819;t26
warmiñsko-mazurskie;1182839;3928;553431;2318;t28
wielkopolskie;3303720;10265;1557634;6592;t30
zachodniopomorskie;1604285;3700;745827;2092;t32
ca³y kraj;34806538;87980;16291145;50869;t00
