wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;30578;1837;4030;623;t0
dolnoœl¹skie;1172395;22908;305547;7335;t02
kujawsko-pomorskie;725626;18551;179009;6520;t04
lubelskie;750251;15480;210845;5715;t06
lubuskie;381207;7608;98997;2294;t08
³ódzkie;948290;20850;241440;6354;t10
ma³opolskie;1149721;22204;294415;8358;t12
mazowieckie;2152280;40987;569774;16630;t14
opolskie;365893;6811;90990;2290;t16
podkarpackie;731390;13879;207239;5195;t18
podlaskie;471225;8953;124813;3234;t20
pomorskie;952904;22912;238202;6123;t22
œl¹skie;1649031;40294;396280;14103;t24
œwiêtokrzyskie;405664;9116;101570;2657;t26
warmiñsko-mazurskie;491104;9939;129329;3799;t28
wielkopolskie;1233345;26489;316630;7802;t30
zachodniopomorskie;663387;14099;155226;4873;t32
ca³y kraj;14274291;302917;3664336;103905;t00
