wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;10794;416;1292;2;
dolnośląskie;658426;8873;180629;587;t02
kujawsko-pomorskie;383422;4973;101097;218;t04
lubelskie;436891;5838;123862;368;t06
lubuskie;204973;2580;51489;267;t08
łódzkie;510191;6065;143496;443;t10
małopolskie;625651;7730;169622;263;t12
mazowieckie;1214601;16374;328082;1377;t14
opolskie;190773;2623;54249;521;t16
podkarpackie;408984;3997;111358;317;t18
podlaskie;257792;1782;73217;10;t20
pomorskie;503714;5892;143922;495;t22
śląskie;868562;13746;226022;767;t24
świętokrzyskie;220082;2689;59639;78;t26
warmińsko-mazurskie;281167;3684;74635;280;t28
wielkopolskie;668467;8566;181246;512;t30
zachodniopomorskie;339894;4508;89758;211;t32
cały kraj;7784384;100336;2113615;6716;t00
