wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;26156;1161;3059;80;t0
dolnoœl¹skie;1109996;26303;286591;7898;t02
kujawsko-pomorskie;680965;19275;166272;5574;t04
lubelskie;714591;17201;199496;6761;t06
lubuskie;358601;9834;93609;4387;t08
³ódzkie;885846;25858;226968;7813;t10
ma³opolskie;1078939;27795;275511;9161;t12
mazowieckie;2027395;47649;530522;18410;t14
opolskie;342455;11506;86354;2311;t16
podkarpackie;687383;16866;192265;7691;t18
podlaskie;441025;10344;116899;3482;t20
pomorskie;891583;28466;223624;6955;t22
œl¹skie;1541843;47083;367734;14295;t24
œwiêtokrzyskie;381041;9697;95292;3034;t26
warmiñsko-mazurskie;465904;10002;121191;3663;t28
wielkopolskie;1156925;31578;293573;11716;t30
zachodniopomorskie;618815;16911;142584;4863;t32
ca³y kraj;13409463;357529;3421544;118094;t00
