wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;25;0;0;0;t0
dolnoœl¹skie;2831863;3373;1322277;1800;t02
kujawsko-pomorskie;1897403;3291;882026;1496;t04
lubelskie;1615391;3506;754029;1727;t06
lubuskie;959313;1415;448592;641;t08
³ódzkie;2311935;3662;1086144;1891;t10
ma³opolskie;2988513;4159;1393452;2324;t12
mazowieckie;5491916;7469;2574283;3920;t14
opolskie;834995;1143;393860;525;t16
podkarpackie;1500285;2562;701628;1273;t18
podlaskie;1002314;1409;472345;535;t20
pomorskie;2307213;4040;1086155;1948;t22
œl¹skie;4214986;5260;1970984;2757;t24
œwiêtokrzyskie;1004221;1799;465890;901;t26
warmiñsko-mazurskie;1194672;2331;558712;1065;t28
wielkopolskie;3338593;4682;1574791;2663;t30
zachodniopomorskie;1620491;2501;752923;1126;t32
ca³y kraj;35114129;52602;16438091;26592;t00
