wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;7;0;1;0;t0
dolnoœl¹skie;3241674;11567;1427429;1134;t02
kujawsko-pomorskie;2175319;6319;959661;673;t04
lubelskie;1906669;7955;831946;1384;t06
lubuskie;1120543;4129;488505;386;t08
³ódzkie;2656809;10455;1183219;1037;t10
ma³opolskie;3413441;12295;1521260;1299;t12
mazowieckie;6371425;22681;2817856;2342;t14
opolskie;946268;3024;422718;310;t16
podkarpackie;1738487;6145;768199;652;t18
podlaskie;1167834;4126;515179;640;t20
pomorskie;2667337;8835;1181254;857;t22
œl¹skie;4786933;17271;2127081;1501;t24
œwiêtokrzyskie;1162191;3917;515009;428;t26
warmiñsko-mazurskie;1396583;4596;616520;513;t28
wielkopolskie;3855995;13495;1730134;1378;t30
zachodniopomorskie;1879193;7632;821537;812;t32
ca³y kraj;40486708;144442;17927508;15346;t00
