wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;11;0;1;0;t0;6;0;0;0;4;0
dolnoœl¹skie;3792744;17176;1467306;1901;t02;1731550;2439;14609;70;579279;12766
kujawsko-pomorskie;2560241;12998;987859;1474;t04;1172364;1491;10401;67;389617;9966
lubelskie;2219312;10582;870646;1592;t06;1020032;1424;12154;54;316480;7512
lubuskie;1329339;7127;506071;966;t08;619729;1038;4788;62;198751;5061
³ódzkie;3106893;14003;1218924;1736;t10;1412455;1764;16311;34;459203;10469
ma³opolskie;3960843;18880;1566778;2014;t12;1833397;2414;11426;82;549242;14370
mazowieckie;7527396;36953;2911590;4124;t14;3416963;4878;35175;143;1163668;27808
opolskie;1113982;6637;437459;916;t16;510211;813;3516;21;162796;4887
podkarpackie;2001546;8950;795645;1608;t18;939039;1448;7027;22;259835;5872
podlaskie;1362763;5523;537637;913;t20;628578;677;4933;26;191615;3907
pomorskie;3131858;14048;1215386;1240;t22;1426536;2078;12637;42;477299;10688
œl¹skie;5610086;28031;2183158;2677;t24;2561525;3566;16773;71;848630;21717
œwiêtokrzyskie;1351924;6491;531767;798;t26;626130;805;5307;9;188720;4879
warmiñsko-mazurskie;1633593;8633;640155;1170;t28;750659;1192;9001;14;233778;6257
wielkopolskie;4522177;21739;1787695;2661;t30;2074661;2973;18171;69;641650;16036
zachodniopomorskie;2223509;10535;847901;1166;t32;1019981;1408;9621;18;346006;7943
ca³y kraj;47448217;228306;18505978;26956;t00;21743816;30408;191850;804;7006573;170138
