wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnoœl¹skie;2150246;16672;828363;11776;t02
kujawsko-pomorskie;1381431;11125;514107;5025;t04
lubelskie;1264219;5245;513518;3572;t06
lubuskie;729927;6908;290011;5052;t08
³ódzkie;1747407;10601;683876;5887;t10
ma³opolskie;2184969;22591;822509;12169;t12
mazowieckie;4082501;37964;1550812;24124;t14
opolskie;668316;5441;276845;4552;t16
podkarpackie;1226086;9142;526112;7758;t18
podlaskie;820230;2396;351782;1493;t20
pomorskie;1761618;15353;711115;10527;t22
œl¹skie;3193037;26597;1234968;16704;t24
œwiêtokrzyskie;746268;6100;288117;3420;t26
warmiñsko-mazurskie;874696;5466;339401;3320;t28
wielkopolskie;2354620;19638;876196;9299;t30
zachodniopomorskie;1236898;8114;486877;5287;t32
ca³y kraj;26422469;209353;10294609;129965;t00
