wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;24994;1397;2978;109;t0
dolnoœl¹skie;1082907;30903;278544;9628;t02
kujawsko-pomorskie;661106;22160;160615;6457;t04
lubelskie;697268;21410;192687;7849;t06
lubuskie;347855;10526;88428;3434;t08
³ódzkie;857604;27554;218737;8718;t10
ma³opolskie;1050408;32111;266192;11227;t12
mazowieckie;1977936;52978;511571;21554;t14
opolskie;330755;11673;84026;3792;t16
podkarpackie;670018;19857;184397;8369;t18
podlaskie;428519;12279;113305;3797;t20
pomorskie;862601;29874;216407;7915;t22
œl¹skie;1493520;52186;353066;16542;t24
œwiêtokrzyskie;370767;12288;92148;3863;t26
warmiñsko-mazurskie;455345;13223;117370;4507;t28
wielkopolskie;1121978;33713;280798;12736;t30
zachodniopomorskie;600767;19266;137470;4930;t32
ca³y kraj;13034348;403398;3298739;135427;t00
