wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;4924;29;1072;2;
dolnośląskie;429048;1318;151257;518;t02
kujawsko-pomorskie;248914;274;89037;5;t04
lubelskie;288281;528;103745;109;t06
lubuskie;122368;234;43722;2;t08
łódzkie;336659;703;125210;232;t10
małopolskie;416847;803;147118;521;t12
mazowieckie;785904;1935;279476;380;t14
opolskie;126965;116;45733;83;t16
podkarpackie;258325;1371;91412;95;t18
podlaskie;166058;0;58147;0;t20
pomorskie;337971;749;119061;230;t22
śląskie;537249;927;190568;524;t24
świętokrzyskie;141670;60;51548;0;t26
warmińsko-mazurskie;180762;198;62050;6;t28
wielkopolskie;428345;281;146808;16;t30
zachodniopomorskie;215892;269;77756;30;t32
cały kraj;5026182;9795;1783720;2753;t00
