wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnoœl¹skie;2413840;23102;1031121;17785;t02
kujawsko-pomorskie;1559440;16695;641615;12163;t04
lubelskie;1392105;14119;608975;10197;t06
lubuskie;815921;7150;355320;5398;t08
³ódzkie;1953981;18683;836582;14082;t10
ma³opolskie;2451551;25461;1012685;18904;t12
mazowieckie;4605871;45351;1935588;34664;t14
opolskie;734965;5215;328738;3918;t16
podkarpackie;1325355;8101;602217;5699;t18
podlaskie;889859;5236;404368;3766;t20
pomorskie;1953036;20018;845308;14358;t22
œl¹skie;3575127;35597;1518050;27053;t24
œwiêtokrzyskie;833410;8006;351094;5460;t26
warmiñsko-mazurskie;981929;10475;413379;7240;t28
wielkopolskie;2686354;30137;1101077;21886;t30
zachodniopomorskie;1371289;12172;586730;9171;t32
ca³y kraj;29544033;285518;12572847;211744;t00
