data;liczba_szczepien_dziennie;dawka_2_dziennie
2020-12-27;2157;0
2020-12-28;4352;0
2020-12-29;9989;0
2020-12-30;20279;0
2020-12-31;10576;0
2021-01-01;1349;2
2021-01-02;2253;0
2021-01-03;642;0
2021-01-04;40461;1
2021-01-05;55186;1
2021-01-06;18697;0
2021-01-07;30300;0
2021-01-08;11808;1
2021-01-09;2257;0
2021-01-10;991;2
2021-01-11;47512;3
2021-01-12;63294;0
2021-01-13;55034;1
2021-01-14;46492;2
2021-01-15;26225;1
2021-01-16;20961;17
2021-01-17;12069;434
2021-01-18;28316;2940
2021-01-19;49477;8120
2021-01-20;51191;14469
2021-01-21;52990;14777
2021-01-22;38197;5262
2021-01-23;16858;1362
2021-01-24;5356;557
2021-01-25;73167;29521
2021-01-26;132735;48368
2021-01-27;104588;26564
2021-01-28;89438;29485
2021-01-29;43704;16127
2021-01-30;16240;3121
2021-01-31;8681;1391
2021-02-01;57099;33360
2021-02-02;114600;57461
2021-02-03;121723;56037
2021-02-04;107250;51634
2021-02-05;52038;29647
2021-02-06;24651;15717
2021-02-07;16390;10182
2021-02-08;33068;11756
2021-02-09;89744;20220
2021-02-10;113247;44982
2021-02-11;111653;58868
2021-02-12;75779;43739
2021-02-13;35616;15261
2021-02-14;14708;4874
2021-02-15;36288;11738
2021-02-16;71794;33903
2021-02-17;154856;85671
2021-02-18;174505;94766
2021-02-19;103285;50386
2021-02-20;36032;7724
2021-02-21;16055;3616
2021-02-22;43430;4127
2021-02-23;71923;20571
2021-02-24;160880;77128
2021-02-25;174933;90758
2021-02-26;103688;45709
2021-02-27;44814;11928
2021-02-28;18067;5834
2021-03-01;46170;5419
2021-03-02;82532;21828
2021-03-03;156815;68090
2021-03-04;173954;85969
2021-03-05;108749;44714
2021-03-06;49854;12085
2021-03-07;17999;5392
2021-03-08;34596;3685
2021-03-09;63936;8433
2021-03-10;143520;43076
2021-03-11;163008;68435
2021-03-12;95166;39606
2021-03-13;29998;6741
2021-03-14;11882;3042
2021-03-15;25833;3554
2021-03-16;47925;10736
2021-03-17;134097;43918
2021-03-18;155443;66722
2021-03-19;89480;38976
2021-03-20;29781;10285
2021-03-21;10658;3079
