wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;512;255;127;1;t0
dolnoœl¹skie;1762516;10099;583940;4502;t02
kujawsko-pomorskie;1102244;8275;351095;2703;t04
lubelskie;1050398;1848;369464;1205;t06
lubuskie;585918;4729;193046;2904;t08
³ódzkie;1412605;6917;464870;3598;t10
ma³opolskie;1729985;7510;572856;1926;t12
mazowieckie;3291062;25615;1094421;7264;t14
opolskie;533017;3687;171068;2541;t16
podkarpackie;1022143;6005;368565;4336;t18
podlaskie;672639;2407;238507;1724;t20
pomorskie;1404750;10629;471040;7780;t22
œl¹skie;2569813;21965;840369;9690;t24
œwiêtokrzyskie;598292;3127;193440;1600;t26
warmiñsko-mazurskie;705517;2385;236493;830;t28
wielkopolskie;1874037;10084;617110;3853;t30
zachodniopomorskie;1011548;7248;335711;4350;t32
ca³y kraj;21326996;132785;7102122;60807;t00
