data;liczba_szczepien_dziennie;dawka_2_dziennie;dawka_1_dziennie;dawka_3_dziennie;dawka_przypomianjaca_dziennie
2020-12-27;2163;0;2163;0;0
2020-12-28;4373;0;4373;0;0
2020-12-29;10015;0;10015;0;0
2020-12-30;20291;0;20291;0;0
2020-12-31;10599;0;10598;1;0
2021-01-01;1348;2;1346;0;0
2021-01-02;2258;0;2258;0;0
2021-01-03;640;0;640;0;0
2021-01-04;40535;1;40534;0;0
2021-01-05;55274;1;55273;0;0
2021-01-06;18732;0;18732;0;0
2021-01-07;30307;0;30307;0;0
2021-01-08;11811;0;11811;0;0
2021-01-09;2258;0;2258;0;0
2021-01-10;992;2;990;0;0
2021-01-11;47568;3;47565;0;0
2021-01-12;63334;0;63334;0;0
2021-01-13;55093;1;55092;0;0
2021-01-14;46523;2;46521;0;0
2021-01-15;26231;1;26230;0;0
2021-01-16;20974;17;20957;0;0
2021-01-17;12064;435;11629;0;0
2021-01-18;28295;2946;25347;2;0
2021-01-19;49424;8126;41298;0;0
2021-01-20;51199;14489;36710;0;0
2021-01-21;52970;14800;38170;0;0
2021-01-22;38190;5264;32926;0;0
2021-01-23;16862;1362;15500;0;0
2021-01-24;5360;557;4803;0;0
2021-01-25;73273;29561;43712;0;0
2021-01-26;132869;48413;84455;1;0
2021-01-27;104724;26605;78119;0;0
2021-01-28;89491;29525;59966;0;0
2021-01-29;43732;16138;27594;0;0
2021-01-30;16260;3126;13134;0;0
2021-01-31;8683;1395;7288;0;0
2021-02-01;57136;33385;23751;0;0
2021-02-02;114689;57521;57168;0;0
2021-02-03;121829;56105;65724;0;0
2021-02-04;107312;51696;55616;0;0
2021-02-05;52083;29692;22391;0;0
2021-02-06;24682;15741;8941;0;0
2021-02-07;16393;10188;6205;0;0
2021-02-08;33104;11776;21328;0;0
2021-02-09;89764;20262;69501;1;0
2021-02-10;113400;45117;68283;0;0
2021-02-11;111878;59082;52796;0;0
2021-02-12;75863;43813;32050;0;0
2021-02-13;35664;15302;20362;0;0
2021-02-14;14719;4882;9837;0;0
2021-02-15;36312;11800;24512;0;0
2021-02-16;71830;34010;37820;0;0
2021-02-17;155138;85965;69171;2;0
2021-02-18;174819;95107;79712;0;0
2021-02-19;103309;50456;52853;0;0
2021-02-20;36012;7738;28274;0;0
2021-02-21;16055;3633;12422;0;0
2021-02-22;43419;4157;39262;0;0
2021-02-23;71942;20607;51335;0;0
2021-02-24;160980;77217;83762;0;1
2021-02-25;175054;90883;84171;0;0
2021-02-26;103690;45773;57917;0;0
2021-02-27;44790;11943;32847;0;0
2021-02-28;18059;5845;12214;0;0
2021-03-01;46128;5430;40698;0;0
2021-03-02;82475;21849;60626;0;0
2021-03-03;156845;68177;88665;3;0
2021-03-04;174064;86089;87975;0;0
2021-03-05;108791;44785;64005;1;0
2021-03-06;49841;12101;37740;0;0
2021-03-07;18013;5400;12613;0;0
2021-03-08;34579;3692;30887;0;0
2021-03-09;63876;8445;55431;0;0
2021-03-10;143355;43147;100208;0;0
2021-03-11;162934;68507;94426;1;0
2021-03-12;95137;39671;55466;0;0
2021-03-13;29964;6748;23216;0;0
2021-03-14;11871;3044;8827;0;0
2021-03-15;25805;3559;22246;0;0
2021-03-16;47874;10755;37119;0;0
2021-03-17;133984;43990;89994;0;0
2021-03-18;155349;66811;88538;0;0
2021-03-19;89482;39060;50421;1;0
2021-03-20;29795;10311;19484;0;0
2021-03-21;10652;3083;7569;0;0
2021-03-22;51930;3985;47944;1;0
2021-03-23;118008;20019;97989;0;0
2021-03-24;192051;50273;141778;0;0
2021-03-25;216538;71971;144567;0;0
2021-03-26;162335;40817;121518;0;0
2021-03-27;92165;15053;77112;0;0
2021-03-28;35745;6940;28805;0;0
2021-03-29;80138;9901;70237;0;0
2021-03-30;117621;16143;101478;0;0
2021-03-31;190875;20809;170066;0;0
2021-04-01;205279;19568;185711;0;0
2021-04-02;153110;11335;141775;0;0
2021-04-03;36389;2769;33620;0;0
2021-04-04;3348;359;2989;0;0
2021-04-05;3897;531;3366;0;0
2021-04-06;126200;8168;118032;0;0
2021-04-07;220600;7411;213189;0;0
2021-04-08;258389;5869;252520;0;0
2021-04-09;220705;4721;215984;0;0
2021-04-10;154533;4204;150329;0;0
2021-04-11;44737;790;43947;0;0
2021-04-12;106499;7049;99450;0;0
2021-04-13;186886;23424;163462;0;0
2021-04-14;254887;53999;200888;0;0
2021-04-15;268107;59435;208672;0;0
2021-04-16;201394;28346;173048;0;0
2021-04-17;140739;11992;128747;0;0
2021-04-18;39793;4050;35743;0;0
2021-04-19;109452;13114;96338;0;0
2021-04-20;203165;34362;168803;0;0
2021-04-21;283275;74689;208586;0;0
2021-04-22;306598;79635;226963;0;0
2021-04-23;260220;46942;213278;0;0
2021-04-24;206095;24546;181549;0;0
2021-04-25;56078;9303;46775;0;0
2021-04-26;139818;30955;108863;0;0
2021-04-27;254130;58865;195265;0;0
2021-04-28;345650;99677;245972;1;0
2021-04-29;388501;109219;279282;0;0
2021-04-30;358225;75261;282964;0;0
2021-05-01;121935;15604;106330;1;0
2021-05-02;59483;10214;49269;0;0
2021-05-03;47141;5561;41580;0;0
2021-05-04;234764;63351;171413;0;0
2021-05-05;399597;122993;276604;0;0
2021-05-06;424660;142165;282495;0;0
2021-05-07;379696;125035;254661;0;0
2021-05-08;258810;63750;195060;0;0
2021-05-09;82477;14881;67596;0;0
2021-05-10;188813;52648;136165;0;0
2021-05-11;321506;109993;211513;0;0
2021-05-12;434860;181312;253548;0;0
2021-05-13;442180;194068;248112;0;0
2021-05-14;374082;152599;221483;0;0
2021-05-15;278179;110845;167334;0;0
2021-05-16;90371;29698;60673;0;0
2021-05-17;149295;50320;98975;0;0
2021-05-18;331636;126028;205608;0;0
2021-05-19;446533;186229;260304;0;0
2021-05-20;445872;201458;244414;0;0
2021-05-21;357220;155548;201672;0;0
2021-05-22;241368;111246;130122;0;0
2021-05-23;68145;35671;32474;0;0
2021-05-24;135701;76977;58724;0;0
2021-05-25;306376;158474;147902;0;0
2021-05-26;397655;212507;185148;0;0
2021-05-27;387410;232488;154922;0;0
2021-05-28;350080;202640;147440;0;0
2021-05-29;278749;152037;126712;0;0
2021-05-30;91916;44210;47706;0;0
2021-05-31;167803;98672;69131;0;0
2021-06-01;467270;270749;196520;1;0
2021-06-02;652996;401812;251184;0;0
2021-06-03;141211;64730;76481;0;0
2021-06-04;431491;257361;174130;0;0
2021-06-05;272052;120567;151485;0;0
2021-06-06;99140;41031;58109;0;0
2021-06-07;203476;127882;75594;0;0
2021-06-08;401499;243238;158261;0;0
2021-06-09;507989;303421;204568;0;0
2021-06-10;485488;298253;187235;0;0
