wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;12;0;0;0;t0;5;0;0;0;7;0
dolnoœl¹skie;4243385;6376;1536184;1842;t02;1789713;682;16317;29;901171;3823
kujawsko-pomorskie;2875935;3405;1038248;1139;t04;1214052;352;11748;11;611887;1903
lubelskie;2450432;3017;905523;805;t06;1049756;299;13148;4;482005;1909
lubuskie;1480534;2061;531472;730;t08;641893;200;5247;6;301922;1125
³ódzkie;3465596;4075;1274141;1161;t10;1458937;437;18234;23;714284;2454
ma³opolskie;4423770;6642;1640486;1765;t12;1889887;547;13478;46;879919;4284
mazowieckie;8416866;10752;3063815;3159;t14;3533539;1011;39298;79;1780214;6503
opolskie;1238680;1500;458022;478;t16;527064;146;4895;12;248699;864
podkarpackie;2182022;2302;825967;709;t18;964980;254;8181;37;382894;1302
podlaskie;1491253;1626;558802;508;t20;647471;161;5852;27;279128;930
pomorskie;3514419;4447;1279494;1188;t22;1482733;448;14490;24;737702;2787
œl¹skie;6258326;7915;2278899;2040;t24;2643265;693;19820;54;1316342;5128
œwiêtokrzyskie;1509053;2055;554467;681;t26;647012;229;6232;21;301342;1124
warmiñsko-mazurskie;1845361;2722;673166;685;t28;781775;283;10244;4;380176;1750
wielkopolskie;5135346;7875;1890385;2165;t30;2157796;695;19652;25;1067513;4990
zachodniopomorskie;2472331;2941;886476;777;t32;1053881;265;10369;25;521605;1874
ca³y kraj;53003321;69711;19395547;19832;t00;22483759;6702;217205;427;10906810;42750
