data;liczba_szczepien_dziennie;dawka_2_dziennie;dawka_1_dziennie;dawka_3_dziennie;dawka_przypomianjaca_dziennie
2020-12-27;2163;0;2163;0;0
2020-12-28;4373;0;4373;0;0
2020-12-29;10016;0;10016;0;0
2020-12-30;20291;0;20291;0;0
2020-12-31;10598;0;10597;1;0
2021-01-01;1348;2;1346;0;0
2021-01-02;2258;0;2258;0;0
2021-01-03;640;0;640;0;0
2021-01-04;40537;1;40536;0;0
2021-01-05;55275;1;55274;0;0
2021-01-06;18732;0;18732;0;0
2021-01-07;30308;0;30308;0;0
2021-01-08;11811;0;11811;0;0
2021-01-09;2259;0;2259;0;0
2021-01-10;992;2;990;0;0
2021-01-11;47568;3;47565;0;0
2021-01-12;63336;0;63336;0;0
2021-01-13;55093;1;55092;0;0
2021-01-14;46525;2;46523;0;0
2021-01-15;26230;1;26229;0;0
2021-01-16;20975;17;20958;0;0
2021-01-17;12064;435;11629;0;0
2021-01-18;28296;2946;25348;2;0
2021-01-19;49424;8125;41299;0;0
2021-01-20;51200;14489;36711;0;0
2021-01-21;52971;14801;38170;0;0
2021-01-22;38193;5265;32928;0;0
2021-01-23;16862;1362;15500;0;0
2021-01-24;5360;557;4803;0;0
2021-01-25;73277;29563;43714;0;0
2021-01-26;132873;48413;84459;1;0
2021-01-27;104733;26607;78126;0;0
2021-01-28;89492;29526;59966;0;0
2021-01-29;43733;16139;27594;0;0
2021-01-30;16262;3126;13136;0;0
2021-01-31;8683;1395;7288;0;0
2021-02-01;57136;33385;23751;0;0
2021-02-02;114693;57525;57168;0;0
2021-02-03;121833;56111;65722;0;0
2021-02-04;107313;51696;55617;0;0
2021-02-05;52087;29693;22394;0;0
2021-02-06;24682;15741;8941;0;0
2021-02-07;16392;10188;6204;0;0
2021-02-08;33106;11777;21329;0;0
2021-02-09;89766;20263;69502;1;0
2021-02-10;113401;45118;68283;0;0
2021-02-11;111883;59086;52797;0;0
2021-02-12;75865;43814;32051;0;0
2021-02-13;35665;15302;20363;0;0
2021-02-14;14719;4882;9837;0;0
2021-02-15;36318;11800;24518;0;0
2021-02-16;71840;34018;37822;0;0
2021-02-17;155154;85980;69172;2;0
2021-02-18;174837;95118;79719;0;0
2021-02-19;103315;50461;52854;0;0
2021-02-20;36013;7738;28275;0;0
2021-02-21;16057;3634;12423;0;0
2021-02-22;43420;4157;39263;0;0
2021-02-23;71945;20609;51336;0;0
2021-02-24;160984;77220;83763;0;1
2021-02-25;175058;90885;84173;0;0
2021-02-26;103698;45775;57923;0;0
2021-02-27;44791;11943;32848;0;0
2021-02-28;18060;5846;12214;0;0
2021-03-01;46132;5430;40702;0;0
2021-03-02;82480;21852;60628;0;0
2021-03-03;156854;68182;88669;3;0
2021-03-04;174075;86090;87985;0;0
2021-03-05;108794;44785;64008;1;0
2021-03-06;49845;12102;37743;0;0
2021-03-07;18014;5400;12614;0;0
2021-03-08;34580;3692;30888;0;0
2021-03-09;63881;8446;55435;0;0
2021-03-10;143361;43150;100211;0;0
2021-03-11;162942;68512;94429;1;0
2021-03-12;95141;39673;55468;0;0
2021-03-13;29967;6748;23219;0;0
2021-03-14;11872;3044;8828;0;0
2021-03-15;25807;3559;22248;0;0
2021-03-16;47874;10755;37119;0;0
2021-03-17;133987;43993;89994;0;0
2021-03-18;155352;66813;88539;0;0
2021-03-19;89488;39065;50422;1;0
2021-03-20;29799;10314;19485;0;0
2021-03-21;10652;3083;7569;0;0
2021-03-22;51932;3986;47945;1;0
2021-03-23;118017;20026;97991;0;0
2021-03-24;192057;50277;141780;0;0
2021-03-25;216552;71975;144577;0;0
2021-03-26;162347;40821;121526;0;0
2021-03-27;92168;15053;77115;0;0
2021-03-28;35747;6941;28806;0;0
2021-03-29;80141;9901;70240;0;0
2021-03-30;117623;16143;101480;0;0
2021-03-31;190885;20813;170072;0;0
2021-04-01;205290;19572;185718;0;0
2021-04-02;153117;11338;141779;0;0
2021-04-03;36393;2769;33624;0;0
2021-04-04;3348;359;2989;0;0
2021-04-05;3897;531;3366;0;0
2021-04-06;126202;8168;118034;0;0
2021-04-07;220611;7413;213198;0;0
2021-04-08;258393;5870;252523;0;0
2021-04-09;220710;4721;215989;0;0
2021-04-10;154535;4204;150331;0;0
2021-04-11;44740;791;43949;0;0
2021-04-12;106505;7048;99456;1;0
2021-04-13;186890;23428;163462;0;0
2021-04-14;254897;54004;200893;0;0
2021-04-15;268113;59438;208675;0;0
2021-04-16;201396;28349;173047;0;0
2021-04-17;140743;11995;128748;0;0
2021-04-18;39793;4050;35743;0;0
2021-04-19;109465;13115;96350;0;0
2021-04-20;203180;34368;168812;0;0
2021-04-21;283296;74693;208603;0;0
2021-04-22;306611;79645;226966;0;0
2021-04-23;260227;46946;213281;0;0
2021-04-24;206098;24547;181551;0;0
2021-04-25;56078;9303;46775;0;0
2021-04-26;139825;30961;108864;0;0
2021-04-27;254147;58869;195278;0;0
2021-04-28;345667;99688;245978;1;0
2021-04-29;388510;109227;279283;0;0
2021-04-30;358241;75271;282970;0;0
2021-05-01;121936;15607;106328;1;0
2021-05-02;59479;10214;49265;0;0
2021-05-03;47141;5562;41579;0;0
2021-05-04;234778;63356;171422;0;0
2021-05-05;399622;123007;276615;0;0
2021-05-06;424680;142176;282504;0;0
2021-05-07;379717;125052;254665;0;0
2021-05-08;258822;63756;195066;0;0
2021-05-09;82480;14881;67599;0;0
2021-05-10;188825;52658;136167;0;0
2021-05-11;321519;110006;211513;0;0
2021-05-12;434883;181338;253545;0;0
2021-05-13;442208;194093;248115;0;0
2021-05-14;374100;152615;221485;0;0
2021-05-15;278191;110862;167329;0;0
2021-05-16;90379;29703;60676;0;0
2021-05-17;149300;50325;98975;0;0
2021-05-18;331647;126039;205608;0;0
2021-05-19;446566;186253;260313;0;0
2021-05-20;445915;201490;244425;0;0
2021-05-21;357242;155580;201662;0;0
2021-05-22;241373;111253;130120;0;0
2021-05-23;68150;35676;32474;0;0
2021-05-24;135711;76989;58722;0;0
2021-05-25;306390;158490;147900;0;0
2021-05-26;397696;212539;185157;0;0
2021-05-27;387443;232520;154923;0;0
2021-05-28;350111;202673;147437;1;0
2021-05-29;278756;152056;126700;0;0
2021-05-30;91915;44215;47700;0;0
2021-05-31;167809;98684;69125;0;0
2021-06-01;467335;270816;196518;1;0
2021-06-02;653065;401880;251185;0;0
2021-06-03;141220;64738;76482;0;0
2021-06-04;431557;257419;174138;0;0
2021-06-05;272068;120580;151488;0;0
2021-06-06;99143;41033;58110;0;0
2021-06-07;203501;127910;75591;0;0
2021-06-08;401541;243278;158263;0;0
2021-06-09;508046;303482;204564;0;0
2021-06-10;485547;298310;187237;0;0
