wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;8;0;2;0;t0;2;0;0;0;4;0
dolnoœl¹skie;4352833;719;1559308;48;t02;1800399;51;16690;5;976436;615
kujawsko-pomorskie;2940272;389;1053637;24;t04;1220306;24;12001;7;654328;334
lubelskie;2495303;277;916442;23;t06;1055190;27;13502;4;510169;223
lubuskie;1513923;139;539633;16;t08;645495;13;5400;0;323395;110
³ódzkie;3540517;401;1292300;45;t10;1466701;39;18812;9;762704;308
ma³opolskie;4544900;780;1662922;67;t12;1900844;45;14018;6;967116;662
mazowieckie;8635083;1623;3109205;83;t14;3560167;193;40920;11;1924791;1336
opolskie;1266926;111;464890;8;t16;530241;9;5043;0;266752;94
podkarpackie;2220990;227;834888;16;t18;970036;30;8462;0;407604;181
podlaskie;1518270;164;565159;11;t20;651357;19;6098;1;295656;133
pomorskie;3610783;546;1300931;48;t22;1492897;37;15047;2;801908;459
œl¹skie;6418906;1070;2311421;101;t24;2658665;100;20587;11;1428233;858
œwiêtokrzyskie;1538905;143;561586;12;t26;650390;16;6251;3;320678;112
warmiñsko-mazurskie;1888911;183;684361;3;t28;786316;6;10504;0;407730;174
wielkopolskie;5329355;511;1921263;37;t30;2233669;55;20602;5;1153821;414
zachodniopomorskie;2529205;363;899128;32;t32;1059996;18;10587;1;559494;312
ca³y kraj;54345090;7646;19677076;574;t00;22682671;682;224524;65;11760819;6325
