wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;25;0;0;0;t0
dolnoœl¹skie;2714947;12236;1257618;8620;t02
kujawsko-pomorskie;1801388;10749;827621;8129;t04
lubelskie;1545495;8247;718289;5420;t06
lubuskie;914407;3571;426387;2261;t08
³ódzkie;2206560;11538;1026643;7932;t10
ma³opolskie;2836873;15704;1305855;11785;t12
mazowieckie;5250851;25468;2434956;18525;t14
opolskie;804701;2571;378560;1771;t16
podkarpackie;1438459;5401;673329;2998;t18
podlaskie;964162;2912;454116;1745;t20
pomorskie;2194902;12070;1023524;8967;t22
œl¹skie;4041040;19350;1873175;13950;t24
œwiêtokrzyskie;950134;5996;435648;4167;t26
warmiñsko-mazurskie;1130933;6261;524433;4352;t28
wielkopolskie;3145691;21222;1455856;15387;t30
zachodniopomorskie;1541499;7897;709832;5534;t32
ca³y kraj;33482067;171193;15525842;121543;t00
