wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;25;0;0;0;t0
dolnoœl¹skie;2867665;5132;1339752;2616;t02
kujawsko-pomorskie;1923130;3917;894217;2145;t04
lubelskie;1640084;4280;765158;1939;t06
lubuskie;974602;2001;455023;907;t08
³ódzkie;2344812;5336;1102139;2677;t10
ma³opolskie;3031732;6333;1415408;3603;t12
mazowieckie;5567444;12410;2611961;6648;t14
opolskie;844532;1333;398240;715;t16
podkarpackie;1525425;3200;713026;1612;t18
podlaskie;1016517;1576;478521;741;t20
pomorskie;2340359;4386;1100989;2066;t22
œl¹skie;4272428;6439;1997004;3447;t24
œwiêtokrzyskie;1021515;2520;474204;1089;t26
warmiñsko-mazurskie;1214028;2813;567144;1323;t28
wielkopolskie;3392426;6784;1601921;3727;t30
zachodniopomorskie;1644505;3420;764256;1642;t32
ca³y kraj;35621237;71888;16678963;36897;t00
