wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;10;0;3;0;t0;3;0;0;0;4;0
dolnoœl¹skie;4357937;621;1559783;45;t02;1800822;62;16681;5;980651;509
kujawsko-pomorskie;2943145;326;1053920;30;t04;1220554;25;12004;1;656667;270
lubelskie;2497105;227;916619;21;t06;1055381;24;13522;0;511583;182
lubuskie;1515365;174;539800;13;t08;645637;12;5409;0;324519;149
³ódzkie;3544165;458;1292601;56;t10;1467012;39;18842;0;765710;363
ma³opolskie;4551039;676;1663508;61;t12;1901437;57;14055;12;972039;546
mazowieckie;8647230;1525;3110252;140;t14;3561482;182;40994;20;1934502;1183
opolskie;1268185;131;465032;15;t16;530385;8;5053;6;267715;102
podkarpackie;2222829;248;835111;19;t18;970308;41;8468;3;408942;185
podlaskie;1519442;105;565291;11;t20;651526;23;6102;0;296523;71
pomorskie;3615257;557;1301328;65;t22;1493255;52;15046;12;805628;428
œl¹skie;6427351;891;2312144;65;t24;2659386;68;20640;12;1435181;746
œwiêtokrzyskie;1540092;103;561697;8;t26;650510;17;6239;0;321646;78
warmiñsko-mazurskie;1890452;208;684491;20;t28;786440;17;10508;7;409013;164
wielkopolskie;5342028;791;1921774;40;t30;2241298;176;20624;12;1158332;563
zachodniopomorskie;2531848;285;899323;20;t32;1060272;25;10583;2;561670;238
ca³y kraj;54413480;7326;19682677;629;t00;22695708;828;224770;92;11810325;5777
