wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;25;0;0;0;t0
dolnoœl¹skie;2827855;2919;1320203;1325;t02
kujawsko-pomorskie;1893615;2180;880360;952;t04
lubelskie;1611533;2156;752142;856;t06
lubuskie;957566;1012;447784;393;t08
³ódzkie;2307851;2189;1084086;890;t10
ma³opolskie;2983557;3605;1390764;1936;t12
mazowieckie;5482342;5116;2569409;2558;t14
opolskie;833556;661;393238;259;t16
podkarpackie;1497090;1792;700115;730;t18
podlaskie;1000370;1007;471621;475;t20
pomorskie;2302501;2667;1083984;1427;t22
œl¹skie;4209063;3967;1967773;1962;t24
œwiêtokrzyskie;1002091;1160;464900;589;t26
warmiñsko-mazurskie;1192119;1720;557598;822;t28
wielkopolskie;3332110;3354;1571432;1879;t30
zachodniopomorskie;1617266;2034;751575;846;t32
ca³y kraj;35050510;37539;16406984;17899;t00
