wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;17;0;5;0;t0;4;0;0;0;8;0
dolnoœl¹skie;4336596;906;1557852;140;t02;1799340;78;16925;8;962479;680
kujawsko-pomorskie;2931886;496;1052847;68;t04;1219782;45;12038;2;647219;381
lubelskie;2489699;265;915765;33;t06;1054662;25;13500;1;505772;206
lubuskie;1509646;215;539178;42;t08;645132;19;5384;0;319952;154
³ódzkie;3530240;554;1291336;70;t10;1465899;52;18800;8;754205;424
ma³opolskie;4526541;1083;1661359;149;t12;1899556;98;14171;16;951455;820
mazowieckie;8599950;2098;3105859;415;t14;3556712;197;40761;6;1896618;1480
opolskie;1263461;204;464500;28;t16;529901;12;5037;6;264023;158
podkarpackie;2216090;336;834332;59;t18;969444;35;8415;0;403899;242
podlaskie;1514922;195;564786;32;t20;650940;41;6100;2;293096;120
pomorskie;3597168;788;1299605;97;t22;1491864;68;14949;10;790750;613
œl¹skie;6393802;1216;2309272;134;t24;2657054;87;20699;7;1406777;988
œwiêtokrzyskie;1535419;259;561295;37;t26;650033;30;6254;0;317837;192
warmiñsko-mazurskie;1884397;309;683890;71;t28;785999;29;10524;9;403984;200
wielkopolskie;5281045;1372;1919523;142;t30;2201220;523;20427;16;1139875;691
zachodniopomorskie;2520973;416;898381;54;t32;1059402;49;10632;2;552558;311
ca³y kraj;54131852;10712;19659785;1571;t00;22636944;1388;224616;93;11610507;7660
