wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;28665;1386;3407;247;t0
dolnoœl¹skie;1148344;13901;297387;4354;t02
kujawsko-pomorskie;706776;9229;172461;3245;t04
lubelskie;734648;9622;205112;3138;t06
lubuskie;373461;4229;96692;924;t08
³ódzkie;926155;12958;234886;2847;t10
ma³opolskie;1126577;14832;285854;4208;t12
mazowieckie;2109423;26335;552751;7822;t14
opolskie;358674;5576;88574;1387;t16
podkarpackie;717076;8332;201901;2268;t18
podlaskie;460221;4960;121396;1295;t20
pomorskie;929464;15486;231770;3172;t22
œl¹skie;1607340;20090;381783;6072;t24
œwiêtokrzyskie;395944;5255;98834;1362;t26
warmiñsko-mazurskie;480732;6913;125309;1938;t28
wielkopolskie;1205530;13021;308317;3530;t30
zachodniopomorskie;648597;8737;150206;2419;t32
ca³y kraj;13957627;180862;3556640;50228;t00
