wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;25;0;0;0;t0
dolnoœl¹skie;2651538;14448;1212850;9808;t02
kujawsko-pomorskie;1751181;10957;792319;8153;t04
lubelskie;1512528;8216;697098;5380;t06
lubuskie;892240;4884;412662;3336;t08
³ódzkie;2152789;14584;989109;10674;t10
ma³opolskie;2752408;21863;1245934;16575;t12
mazowieckie;5116294;28988;2337770;21126;t14
opolskie;790751;2661;369485;1608;t16
podkarpackie;1413517;5276;660157;3028;t18
podlaskie;949690;3588;445905;2401;t20
pomorskie;2140516;13378;985639;10365;t22
œl¹skie;3946762;24073;1807481;17996;t24
œwiêtokrzyskie;923613;6286;417495;4656;t26
warmiñsko-mazurskie;1099187;7668;502657;5532;t28
wielkopolskie;3034833;24878;1372231;18488;t30
zachodniopomorskie;1503263;8005;683985;5626;t32
ca³y kraj;32631135;199753;14932777;144752;t00
