wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;5;0;0;0;t0;1;0;0;0;4;0
dolnoœl¹skie;4327780;1031;1556571;130;t02;1798501;91;16906;27;955802;783
kujawsko-pomorskie;2927539;508;1052152;97;t04;1219356;66;12019;0;644012;345
lubelskie;2486633;337;915255;70;t06;1054222;48;13468;1;503688;218
lubuskie;1507297;166;538746;25;t08;644879;23;5381;1;318291;117
³ódzkie;3525064;578;1290487;92;t10;1465391;56;18734;16;750452;414
ma³opolskie;4516144;912;1659988;130;t12;1898684;94;14094;1;943378;687
mazowieckie;8581490;1771;3103049;254;t14;3554396;180;40571;31;1883474;1306
opolskie;1261486;236;464165;31;t16;529654;35;5023;1;262644;169
podkarpackie;2213114;229;833783;48;t18;969053;32;8390;2;401888;147
podlaskie;1513016;251;564449;56;t20;650633;33;6083;0;291851;162
pomorskie;3589779;813;1298634;120;t22;1491149;105;14844;9;785152;579
œl¹skie;6380997;1343;2307452;201;t24;2655881;123;20606;8;1397058;1011
œwiêtokrzyskie;1533465;263;560942;57;t26;649823;25;6245;0;316455;181
warmiñsko-mazurskie;1881936;269;683454;60;t28;785769;27;10502;22;402211;160
wielkopolskie;5257027;1056;1918064;158;t30;2186025;105;20272;17;1132666;776
zachodniopomorskie;2516642;450;897732;89;t32;1058966;69;10595;5;549349;287
ca³y kraj;54019414;10213;19644923;1618;t00;22612383;1112;223733;141;11538375;7342
