data;liczba_szczepien_dziennie;dawka_2_dziennie
2020-12-27;2175;0
2020-12-28;4386;0
2020-12-29;10021;0
2020-12-30;20345;0
2020-12-31;10606;0
2021-01-01;1355;3
2021-01-02;2240;0
2021-01-03;648;0
2021-01-04;40635;1
2021-01-05;55377;2
2021-01-06;18761;0
2021-01-07;30384;0
2021-01-08;11831;1
2021-01-09;2262;0
2021-01-10;994;2
2021-01-11;47628;3
2021-01-12;63473;0
2021-01-13;55161;1
2021-01-14;46575;1
2021-01-15;26264;0
2021-01-16;20960;17
2021-01-17;12089;433
2021-01-18;28394;2935
2021-01-19;49514;8110
2021-01-20;51142;14448
2021-01-21;53062;14757
2021-01-22;38237;5252
2021-01-23;16842;1362
2021-01-24;5364;556
2021-01-25;73182;29474
2021-01-26;132870;48285
2021-01-27;104666;26546
2021-01-28;89543;29447
2021-01-29;43721;16109
2021-01-30;16278;3118
2021-01-31;8692;1389
2021-02-01;57125;33332
2021-02-02;114719;57393
2021-02-03;121895;55990
2021-02-04;107355;51577
2021-02-05;52035;29613
2021-02-06;24649;15692
2021-02-07;16392;10175
2021-02-08;33121;11745
2021-02-09;89922;20167
2021-02-10;113349;44862
2021-02-11;111688;58782
2021-02-12;75779;43689
2021-02-13;35624;15243
2021-02-14;14707;4864
2021-02-15;36284;11719
2021-02-16;71724;33799
2021-02-17;154580;85296
2021-02-18;174422;94483
2021-02-19;103287;50294
2021-02-20;36039;7708
2021-02-21;16066;3611
2021-02-22;43353;4119
2021-02-23;71911;20484
2021-02-24;160977;77021
2021-02-25;175020;90662
2021-02-26;103739;45664
2021-02-27;44819;11915
2021-02-28;18065;5824
2021-03-01;46188;5412
2021-03-02;82471;21790
2021-03-03;156911;68021
2021-03-04;174053;85897
2021-03-05;108806;44668
2021-03-06;49864;12077
2021-03-07;17995;5388
2021-03-08;34595;3682
2021-03-09;63934;8424
2021-03-10;143491;43032
2021-03-11;162956;68368
2021-03-12;95101;39542
2021-03-13;29993;6735
2021-03-14;11879;3040
2021-03-15;25814;3563
2021-03-16;47922;10724
2021-03-17;134066;43872
2021-03-18;155370;66647
2021-03-19;89406;38908
2021-03-20;29770;10279
2021-03-21;10658;3078
2021-03-22;51954;3973
2021-03-23;117970;19929
2021-03-24;192151;50138
2021-03-25;216492;71725
2021-03-26;162294;40678
2021-03-27;92212;15012
2021-03-28;35747;6928
2021-03-29;80147;9877
2021-03-30;117630;16083
2021-03-31;190993;20706
2021-04-01;205330;19479
2021-04-02;153054;11297
2021-04-03;36397;2755
2021-04-04;3337;351
2021-04-05;3884;527
2021-04-06;126201;8131
2021-04-07;220656;7353
2021-04-08;258645;5842
2021-04-09;220775;4702
2021-04-10;154600;4174
2021-04-11;44775;786
2021-04-12;106488;7022
2021-04-13;186922;23344
2021-04-14;254871;53861
2021-04-15;268121;59300
2021-04-16;201497;28311
2021-04-17;140842;11958
2021-04-18;39801;4024
2021-04-19;109503;13043
2021-04-20;203207;34286
2021-04-21;283125;74508
2021-04-22;306503;79475
2021-04-23;260202;46789
2021-04-24;206161;24509
2021-04-25;56064;9276
2021-04-26;139727;30849
2021-04-27;254056;58754
2021-04-28;345332;99410
2021-04-29;388095;108940
2021-04-30;358013;75025
2021-05-01;121979;15583
2021-05-02;59475;10174
2021-05-03;47166;5540
2021-05-04;234642;63248
2021-05-05;399224;122719
2021-05-06;424338;141866
2021-05-07;379339;124740
2021-05-08;258515;63622
2021-05-09;82446;14855
2021-05-10;188552;52540
2021-05-11;321199;109784
2021-05-12;434466;181007
2021-05-13;441803;193738
2021-05-14;373540;152270
2021-05-15;277841;110563
2021-05-16;90301;29642
2021-05-17;149142;50203
2021-05-18;331319;125813
2021-05-19;446084;185876
2021-05-20;445332;201124
2021-05-21;356884;155238
2021-05-22;241160;111072
2021-05-23;68076;35600
2021-05-24;135519;76855
2021-05-25;306026;158201
2021-05-26;397191;212122
2021-05-27;387022;232159
2021-05-28;349709;202325
2021-05-29;278534;151822
2021-05-30;91876;44167
2021-05-31;167662;98553
2021-06-01;466777;270322
2021-06-02;652226;401242
2021-06-03;140861;64659
2021-06-04;430913;256984
2021-06-05;271906;120471
2021-06-06;99090;40999
2021-06-07;203147;127627
2021-06-08;401091;242949
2021-06-09;507493;303045
2021-06-10;485041;297895
2021-06-11;425546;266479
2021-06-12;318716;182256
2021-06-13;102709;58847
2021-06-14;213936;168356
2021-06-15;375190;264435
2021-06-16;433948;280697
2021-06-17;402698;272526
2021-06-18;326145;220633
2021-06-19;220566;135799
2021-06-20;66489;43774
2021-06-21;168803;137580
2021-06-22;341670;262280
2021-06-23;400629;291641
2021-06-24;381125;283043
2021-06-25;309805;233768
2021-06-26;203137;134360
2021-06-27;61013;42198
2021-06-28;146314;115021
2021-06-29;288496;217702
2021-06-30;357208;254709
2021-07-01;299388;219971
2021-07-02;243567;175278
2021-07-03;172587;119313
2021-07-04;50591;34021
2021-07-05;118548;86500
2021-07-06;250900;207418
2021-07-07;341117;283043
2021-07-08;263716;202995
2021-07-09;255915;197301
2021-07-10;209646;167519
2021-07-11;63028;48707
2021-07-12;115130;82367
2021-07-13;216300;172564
2021-07-14;286305;226996
2021-07-15;257252;195111
2021-07-16;209606;150510
2021-07-17;157547;113848
2021-07-18;41806;25843
2021-07-19;83841;50782
2021-07-20;164322;118285
2021-07-21;209976;156427
2021-07-22;179528;126245
2021-07-23;156134;102218
2021-07-24;97633;61423
2021-07-25;29626;14224
2021-07-26;72077;41733
2021-07-27;114594;71118
2021-07-28;141017;87742
2021-07-29;133815;82562
2021-07-30;120059;69869
2021-07-31;78344;40777
2021-08-01;32580;7826
2021-08-02;52557;25274
2021-08-03;82106;42899
2021-08-04;107975;60772
2021-08-05;109007;60505
2021-08-06;102824;53622
2021-08-07;61030;27982
2021-08-08;19741;5366
2021-08-09;46543;21227
2021-08-10;68522;33221
2021-08-11;81045;39897
2021-08-12;80129;40102
2021-08-13;78763;40817
2021-08-14;43491;17827
2021-08-15;27480;4137
2021-08-16;41969;21390
2021-08-17;57815;29635
2021-08-18;74021;37726
2021-08-19;68699;37139
2021-08-20;72171;38128
2021-08-21;41487;19020
2021-08-22;18576;3931
2021-08-23;34755;17422
