wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;25;0;0;0;t00
dolnoœl¹skie;boles³awiecki;68585;151;30958;74;t0201
dolnoœl¹skie;dzier¿oniowski;64532;58;30333;42;t0202
dolnoœl¹skie;g³ogowski;60246;0;27243;0;t0203
dolnoœl¹skie;górowski;25486;0;11479;0;t0204
dolnoœl¹skie;jaworski;37146;1;16747;1;t0205
dolnoœl¹skie;jeleniogórski;48559;39;22719;35;t0206
dolnoœl¹skie;kamiennogórski;29310;36;13745;24;t0207
dolnoœl¹skie;k³odzki;120797;76;56568;26;t0208
dolnoœl¹skie;legnicki;42057;9;18768;9;t0209
dolnoœl¹skie;lubañski;27830;33;11587;21;t0210
dolnoœl¹skie;lubiñski;119347;99;56944;25;t0211
dolnoœl¹skie;lwówecki;39101;45;18138;7;t0212
dolnoœl¹skie;milicki;32170;19;15059;18;t0213
dolnoœl¹skie;oleœnicki;89091;241;40151;104;t0214
dolnoœl¹skie;o³awski;43933;0;21185;0;t0215
dolnoœl¹skie;polkowicki;39589;0;17278;0;t0216
dolnoœl¹skie;strzeliñski;35385;0;16515;0;t0217
dolnoœl¹skie;œredzki;20802;31;9836;19;t0218
dolnoœl¹skie;œwidnicki;94721;122;43588;26;t0219
dolnoœl¹skie;trzebnicki;56328;0;26809;0;t0220
dolnoœl¹skie;wa³brzyski;30102;0;14205;0;t0221
dolnoœl¹skie;wo³owski;40133;22;18009;5;t0222
dolnoœl¹skie;wroc³awski;98638;41;46880;16;t0223
dolnoœl¹skie;z¹bkowicki;52328;33;24597;11;t0224
dolnoœl¹skie;zgorzelecki;54437;39;24671;38;t0225
dolnoœl¹skie;z³otoryjski;32621;21;14485;5;t0226
dolnoœl¹skie;Jelenia Góra;85027;149;40912;111;t0261
dolnoœl¹skie;Legnica;85001;39;39970;9;t0262
dolnoœl¹skie;Wroc³aw;1010754;701;475682;426;t0264
