wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;25;0;0;0;t0
dolnoœl¹skie;2759308;9579;1285384;5954;t02
kujawsko-pomorskie;1837333;7951;850983;5109;t04
lubelskie;1569800;6260;731886;3446;t06
lubuskie;930294;3069;435573;1875;t08
³ódzkie;2246413;8883;1050899;5483;t10
ma³opolskie;2897001;11512;1343226;6756;t12
mazowieckie;5344040;21645;2493355;14049;t14
opolskie;815027;2447;384408;1448;t16
podkarpackie;1459154;4660;683087;2522;t18
podlaskie;976538;2645;460589;1493;t20
pomorskie;2237889;9012;1050010;5882;t22
œl¹skie;4110129;14111;1915266;8418;t24
œwiêtokrzyskie;969539;4743;447498;2956;t26
warmiñsko-mazurskie;1154182;5151;538051;3016;t28
wielkopolskie;3219483;14748;1506347;10905;t30
zachodniopomorskie;1570393;5946;727547;3560;t32
ca³y kraj;34096548;132362;15904109;82872;t00
