wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;6593;381;1224;79;
dolnośląskie;532957;14869;174022;1687;t02
kujawsko-pomorskie;310552;8649;98750;525;t04
lubelskie;360556;11080;119628;1551;t06
lubuskie;157940;5628;49256;510;t08
łódzkie;413941;11856;140205;1089;t10
małopolskie;512077;14591;164962;973;t12
mazowieckie;978301;27630;317418;2683;t14
opolskie;158558;4638;51733;567;t16
podkarpackie;331932;10889;106699;1272;t18
podlaskie;212599;6301;69194;935;t20
pomorskie;414127;11125;138136;1590;t22
śląskie;670493;20109;218603;1887;t24
świętokrzyskie;180050;5024;58106;276;t26
warmińsko-mazurskie;228489;7276;71300;907;t28
wielkopolskie;535449;15641;173371;2433;t30
zachodniopomorskie;266362;7512;87056;826;t32
cały kraj;6270976;183199;2039663;19790;t00
