wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnoœl¹skie;2910565;2454;1360557;1239;t02
kujawsko-pomorskie;1956864;1975;910446;945;t04
lubelskie;1668327;1629;778684;718;t06
lubuskie;993130;785;462696;399;t08
³ódzkie;2384618;1893;1121844;871;t10
ma³opolskie;3086356;3227;1443285;1683;t12
mazowieckie;5661747;5148;2658087;2718;t14
opolskie;856371;567;403948;228;t16
podkarpackie;1554114;1865;726341;913;t18
podlaskie;1034202;813;486362;373;t20
pomorskie;2380750;2117;1119440;950;t22
œl¹skie;4335519;3458;2027983;1760;t24
œwiêtokrzyskie;1042101;933;484717;496;t26
warmiñsko-mazurskie;1238773;1098;578503;597;t28
wielkopolskie;3456067;2817;1633895;1430;t30
zachodniopomorskie;1672860;1728;777951;860;t32
ca³y kraj;36232370;32513;16974739;16180;t00
