wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;25;1;12;1;t0;6;0;0;0;7;0
dolnoœl¹skie;4236393;4070;1534136;1210;t02;1788854;352;16291;16;897112;2492
kujawsko-pomorskie;2872242;3016;1037009;900;t04;1213638;269;11738;51;609857;1796
lubelskie;2447204;2292;904657;569;t06;1049423;249;13142;31;479982;1443
lubuskie;1478306;1272;530688;448;t08;641653;141;5239;27;300726;656
³ódzkie;3461136;2768;1272878;688;t10;1458402;239;18206;48;711650;1793
ma³opolskie;4416627;4549;1638538;1075;t12;1889226;396;13428;62;875435;3016
mazowieckie;8404470;8005;3060176;2335;t14;3531892;757;39214;127;1773188;4786
opolskie;1237107;1098;457521;266;t16;526911;108;4883;1;247792;723
podkarpackie;2179560;1572;825219;368;t18;964696;184;8144;14;381501;1006
podlaskie;1489320;1294;558224;382;t20;647189;132;5826;39;278081;741
pomorskie;3509599;3622;1278209;1036;t22;1482198;404;14459;16;734733;2166
œl¹skie;6249698;5034;2276627;1150;t24;2642462;469;19770;15;1310839;3400
œwiêtokrzyskie;1506833;1664;553743;483;t26;646758;158;6211;16;300121;1007
warmiñsko-mazurskie;1841890;2513;672236;739;t28;781273;309;10225;44;378156;1421
wielkopolskie;5126581;5299;1887918;1636;t30;2156896;387;19623;40;1062144;3236
zachodniopomorskie;2468905;2460;885558;751;t32;1053504;273;10344;8;519499;1428
ca³y kraj;52925896;50529;19373349;14037;t00;22474981;4827;216743;555;10860823;31110
