wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;18210;1032;1795;152;
dolnośląskie;883491;11020;224182;3147;t02
kujawsko-pomorskie;526443;7072;125141;2046;t04
lubelskie;570985;7347;155501;1685;t06
lubuskie;275079;3447;66995;764;t08
łódzkie;683661;7384;173694;1274;t10
małopolskie;857887;10570;209711;2364;t12
mazowieckie;1629739;19286;404184;4483;t14
opolskie;253302;3692;67362;806;t16
podkarpackie;538155;5846;140652;1308;t18
podlaskie;340852;3697;91604;747;t20
pomorskie;676424;12067;176111;1690;t22
śląskie;1184104;13745;276713;2925;t24
świętokrzyskie;295503;3486;73417;364;t26
warmińsko-mazurskie;367853;5081;91876;1574;t28
wielkopolskie;910502;11924;220291;2180;t30
zachodniopomorskie;474941;7384;109558;1673;t32
cały kraj;10487131;134080;2608787;29182;t00
