wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;282;13;116;3;t0;142;5;0;0;24;5
dolnoœl¹skie;3956934;12108;1488955;622;t02;1753914;2029;14957;90;699108;9367
kujawsko-pomorskie;2676831;10887;1003983;660;t04;1188280;1386;11138;13;473430;8828
lubelskie;2303332;4209;881952;186;t06;1031512;620;12476;46;377392;3357
lubuskie;1385191;5261;514526;290;t08;628267;785;4892;6;237506;4180
³ódzkie;3242627;10970;1236820;667;t10;1430741;1521;16824;63;558242;8719
ma³opolskie;4139151;15868;1591946;974;t12;1856332;2394;12122;177;678751;12323
mazowieckie;7871644;29999;2966481;2878;t14;3465624;5139;36337;64;1403202;21918
opolskie;1162074;3209;444346;185;t16;516775;398;4129;145;196824;2481
podkarpackie;2072699;4070;806192;243;t18;949846;782;7345;3;309316;3042
podlaskie;1411287;2295;544992;182;t20;635793;321;5267;11;225235;1781
pomorskie;3272904;13248;1235870;1082;t22;1450086;3119;13375;84;573573;8963
œl¹skie;5861107;21802;2213917;1502;t24;2593960;3372;18159;224;1035071;16704
œwiêtokrzyskie;1409118;4867;538672;225;t26;633789;639;5447;2;231210;4001
warmiñsko-mazurskie;1705985;4857;650239;232;t28;761805;593;9379;9;284562;4023
wielkopolskie;4748604;18600;1822753;1290;t30;2107615;2769;18353;112;799883;14429
zachodniopomorskie;2316540;6411;860511;505;t32;1033594;1188;9863;9;412572;4709
ca³y kraj;49536310;168674;18802271;11726;t00;22038075;27060;200063;1058;8495901;128830
