wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnoœl¹skie;2922493;3919;1366336;1921;t02
kujawsko-pomorskie;1965057;2226;914933;1206;t04
lubelskie;1677017;2784;783364;1584;t06
lubuskie;997480;1074;464889;575;t08
³ódzkie;2395354;3027;1127603;1639;t10
ma³opolskie;3098045;4065;1449514;2329;t12
mazowieckie;5687244;7435;2671443;4281;t14
opolskie;859724;1098;405617;548;t16
podkarpackie;1561676;2229;730193;1238;t18
podlaskie;1038789;1264;488751;754;t20
pomorskie;2390772;3155;1124535;1660;t22
œl¹skie;4351995;5471;2036653;3055;t24
œwiêtokrzyskie;1047151;2082;487452;1215;t26
warmiñsko-mazurskie;1246021;2421;582350;1120;t28
wielkopolskie;3472418;4770;1643106;2871;t30
zachodniopomorskie;1680238;2218;781388;1114;t32
ca³y kraj;36391474;49238;17058127;27110;t00
