wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;13;0;0;0;t0;5;0;0;0;8;0
dolnoœl¹skie;4283245;3556;1547476;1065;t02;1793930;365;16585;10;925254;2116
kujawsko-pomorskie;2902172;1848;1046261;508;t04;1216697;166;11886;21;627328;1153
lubelskie;2469721;1844;911057;638;t06;1052103;214;13275;7;493286;985
lubuskie;1493633;1024;535630;335;t08;643294;114;5307;0;309402;575
³ódzkie;3495645;2550;1283674;866;t10;1462321;258;18434;9;731216;1417
ma³opolskie;4465818;3803;1651206;870;t12;1893767;360;13841;23;907004;2550
mazowieckie;8491683;5341;3085291;1373;t14;3542698;479;39684;25;1824010;3464
opolskie;1249828;911;461376;303;t16;528180;87;4951;2;255321;519
podkarpackie;2197763;1365;830290;427;t18;966979;149;8280;26;392214;763
podlaskie;1502379;931;562048;284;t20;648926;109;5963;7;285442;531
pomorskie;3550285;2903;1290155;799;t22;1486815;264;14640;13;758675;1827
œl¹skie;6315714;5668;2294612;1412;t24;2649471;494;20174;66;1351457;3696
œwiêtokrzyskie;1522142;828;558149;220;t26;648485;85;6297;2;309211;521
warmiñsko-mazurskie;1864677;1609;679042;544;t28;783921;137;10403;21;391311;907
wielkopolskie;5188036;4100;1906494;1242;t30;2163362;357;19853;16;1098327;2485
zachodniopomorskie;2494330;1642;892825;412;t32;1056413;165;10454;4;534638;1061
ca³y kraj;53487084;39923;19535586;11298;t00;22537367;3803;220027;252;11194104;24570
