wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
woj_puste;pow_puste;17;0;4;0;t00;9;0;0;0;4;0
dolnoœl¹skie;boles³awiecki;108567;0;38489;0;t0201;47126;0;145;0;22807;0
dolnoœl¹skie;dzier¿oniowski;106526;60;37499;6;t0202;42370;6;153;0;26504;48
dolnoœl¹skie;g³ogowski;105642;37;35128;1;t0203;42063;0;184;0;28267;36
dolnoœl¹skie;górowski;38352;0;13953;0;t0204;16465;0;74;0;7860;0
dolnoœl¹skie;jaworski;59936;0;20756;0;t0205;25188;0;44;0;13948;0
dolnoœl¹skie;jeleniogórski;72422;9;26283;0;t0206;31441;0;401;0;14297;9
dolnoœl¹skie;kamiennogórski;49333;0;17209;0;t0207;19523;0;107;0;12494;0
dolnoœl¹skie;k³odzki;190391;13;68123;0;t0208;77950;0;1338;0;42980;13
dolnoœl¹skie;legnicki;63674;14;22011;1;t0209;27385;1;268;0;14010;12
dolnoœl¹skie;lubañski;48582;3;14801;0;t0210;20408;0;110;0;13263;3
dolnoœl¹skie;lubiñski;177355;32;66876;2;t0211;73665;2;1008;9;35806;19
dolnoœl¹skie;lwówecki;63687;8;22864;4;t0212;26502;0;319;0;14002;4
dolnoœl¹skie;milicki;50034;9;18749;1;t0213;20816;0;120;0;10349;8
dolnoœl¹skie;oleœnicki;168394;25;56257;3;t0214;67329;1;506;0;44302;21
dolnoœl¹skie;o³awski;58256;0;22869;0;t0215;25881;0;99;0;9407;0
dolnoœl¹skie;polkowicki;61875;26;21231;4;t0216;26997;7;52;0;13595;15
dolnoœl¹skie;strzeliñski;55131;0;20095;0;t0217;22654;0;518;0;11864;0
dolnoœl¹skie;œredzki;38329;0;12662;0;t0218;14470;0;484;0;10713;0
