wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;7;0;2;0;t0;5;0;0;0;0;0
dolnoœl¹skie;3360240;13562;1435109;751;t02;1666369;1688;18968;115;239794;11008
kujawsko-pomorskie;2261019;9831;964656;492;t04;1126742;1211;13322;88;156299;8040
lubelskie;1980924;9048;840539;1112;t06;984244;1342;15183;263;140958;6331
lubuskie;1170936;5388;491426;299;t08;589591;837;5539;73;84380;4179
³ódzkie;2752184;12781;1189747;795;t10;1360559;1473;20327;121;181551;10392
ma³opolskie;3531116;13680;1528828;819;t12;1763637;1696;13821;115;224830;11050
mazowieckie;6637380;29450;2836246;2057;t14;3270513;3439;43267;334;487354;23620
opolskie;980371;3581;424935;202;t16;488848;559;5008;33;61580;2787
podkarpackie;1798036;6911;772594;597;t18;903069;1131;8975;81;113398;5102
podlaskie;1214020;5463;519386;534;t20;604011;850;6151;95;84472;3984
pomorskie;2766277;10880;1187682;758;t22;1366443;1306;14816;280;197336;8536
œl¹skie;4974104;19901;2137243;1000;t24;2471558;2136;20849;108;344454;16657
œwiêtokrzyskie;1202595;5146;517662;327;t26;604482;656;6707;26;73744;4137
warmiñsko-mazurskie;1443660;5586;620735;433;t28;718382;768;10096;68;94447;4317
wielkopolskie;4001419;17884;1739956;1158;t30;1979141;2462;22790;173;259532;14091
zachodniopomorskie;1958783;9333;826526;502;t32;978721;1157;11047;163;142489;7511
ca³y kraj;42033071;178425;18033272;11836;t00;20876315;22711;236866;2136;2886618;141742
