wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;3275;61;650;0;
dolnośląskie;339684;1404;123246;337;t02
kujawsko-pomorskie;195194;723;72738;258;t04
lubelskie;229033;685;83499;293;t06
lubuskie;97956;535;36326;242;t08
łódzkie;266657;752;101277;259;t10
małopolskie;327214;1192;117301;523;t12
mazowieckie;618233;3426;225549;1109;t14
opolskie;102042;317;36525;0;t16
podkarpackie;198159;1055;73166;330;t18
podlaskie;130321;349;45205;0;t20
pomorskie;263764;1522;94749;466;t22
śląskie;427748;1442;151897;712;t24
świętokrzyskie;113062;244;41211;62;t26
warmińsko-mazurskie;138595;481;46299;0;t28
wielkopolskie;346080;2511;118490;636;t30
zachodniopomorskie;172479;414;62294;0;t32
cały kraj;3969496;17113;1430422;5227;t00
