wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;4;0;0;0;t00
dolnoœl¹skie;boles³awiecki;73129;100;33099;26;t0201
dolnoœl¹skie;dzier¿oniowski;68580;71;32232;33;t0202
dolnoœl¹skie;g³ogowski;64552;75;29454;33;t0203
dolnoœl¹skie;górowski;26734;12;12125;4;t0204
dolnoœl¹skie;jaworski;39144;5;17748;0;t0205
dolnoœl¹skie;jeleniogórski;51099;38;23777;18;t0206
dolnoœl¹skie;kamiennogórski;31609;34;14877;12;t0207
dolnoœl¹skie;k³odzki;128501;204;60329;71;t0208
dolnoœl¹skie;legnicki;44156;0;19737;0;t0209
dolnoœl¹skie;lubañski;30040;24;12746;6;t0210
dolnoœl¹skie;lubiñski;124764;109;59792;67;t0211
dolnoœl¹skie;lwówecki;41736;34;19382;14;t0212
dolnoœl¹skie;milicki;34384;26;16238;2;t0213
dolnoœl¹skie;oleœnicki;98270;80;44967;52;t0214
dolnoœl¹skie;o³awski;45669;28;21548;0;t0215
dolnoœl¹skie;polkowicki;41666;22;18269;15;t0216
dolnoœl¹skie;strzeliñski;37234;71;17376;16;t0217
dolnoœl¹skie;œredzki;21932;15;10426;0;t0218
dolnoœl¹skie;œwidnicki;102013;135;46994;67;t0219
dolnoœl¹skie;trzebnicki;59620;155;28751;119;t0220
dolnoœl¹skie;wa³brzyski;31378;24;14960;11;t0221
dolnoœl¹skie;wo³owski;42504;37;19014;20;t0222
dolnoœl¹skie;wroc³awski;103323;77;49287;27;t0223
dolnoœl¹skie;z¹bkowicki;55453;37;26070;12;t0224
dolnoœl¹skie;zgorzelecki;59666;51;27102;23;t0225
dolnoœl¹skie;z³otoryjski;34870;11;15646;4;t0226
dolnoœl¹skie;Jelenia Góra;90140;50;43450;23;t0261
dolnoœl¹skie;Legnica;89987;46;42488;35;t0262
dolnoœl¹skie;Wroc³aw;1051546;441;494930;224;t0264
dolnoœl¹skie;Wa³brzych;211113;91;98649;38;t0265
kujawsko-pomorskie;aleksandrowski;132655;65;63192;34;t0401
kujawsko-pomorskie;brodnicki;72110;57;33860;39;t0402
kujawsko-pomorskie;bydgoski;77046;43;36529;35;t0403
kujawsko-pomorskie;che³miñski;41893;72;19724;47;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;35822;12;16687;0;t0405
kujawsko-pomorskie;grudzi¹dzki;26351;6;11887;3;t0406
kujawsko-pomorskie;inowroc³awski;104565;56;49734;44;t0407
kujawsko-pomorskie;lipnowski;53305;21;24530;17;t0408
kujawsko-pomorskie;mogileñski;32610;148;15251;59;t0409
kujawsko-pomorskie;nakielski;84755;52;38188;18;t0410
kujawsko-pomorskie;radziejowski;44602;30;20895;29;t0411
kujawsko-pomorskie;rypiñski;35718;0;16812;0;t0412
kujawsko-pomorskie;sêpoleñski;48749;14;22549;1;t0413
kujawsko-pomorskie;œwiecki;78393;13;36066;3;t0414
kujawsko-pomorskie;toruñski;72144;61;31670;37;t0415
kujawsko-pomorskie;tucholski;39214;10;17977;0;t0416
kujawsko-pomorskie;w¹brzeski;28140;60;12777;13;t0417
kujawsko-pomorskie;w³oc³awski;65229;40;31131;27;t0418
kujawsko-pomorskie;¿niñski;52986;48;25164;35;t0419
kujawsko-pomorskie;Bydgoszcz;434855;385;203835;186;t0461
kujawsko-pomorskie;Grudzi¹dz;124027;86;57448;53;t0462
kujawsko-pomorskie;Toruñ;193534;160;89908;61;t0463
kujawsko-pomorskie;W³oc³awek;94438;104;42824;24;t0464
lubelskie;bialski;61727;71;28326;28;t0601
lubelskie;bi³gorajski;54254;74;25873;46;t0602
lubelskie;che³mski;36301;16;17135;6;t0603
lubelskie;hrubieszowski;44992;85;20712;56;t0604
lubelskie;janowski;31049;41;14498;26;t0605
lubelskie;krasnostawski;41312;28;19074;13;t0606
lubelskie;kraœnicki;66911;80;31675;48;t0607
lubelskie;lubartowski;55121;32;25907;10;t0608
lubelskie;lubelski;84578;59;38723;37;t0609
lubelskie;³êczyñski;40366;21;19374;9;t0610
lubelskie;³ukowski;56429;20;26499;14;t0611
lubelskie;opolski;45171;54;20846;40;t0612
lubelskie;parczewski;28199;0;13070;0;t0613
lubelskie;pu³awski;98307;193;46958;99;t0614
lubelskie;radzyñski;30780;10;14597;10;t0615
lubelskie;rycki;53851;102;25866;78;t0616
lubelskie;œwidnicki;46177;45;22162;21;t0617
lubelskie;tomaszowski;56058;38;26015;19;t0618
lubelskie;w³odawski;35158;105;16406;85;t0619
lubelskie;zamojski;48701;90;23615;55;t0620
lubelskie;Bia³a Podlaska;70349;64;33234;26;t0661
lubelskie;Che³m;63603;46;29122;2;t0662
lubelskie;Lublin;445203;331;204776;118;t0663
lubelskie;Zamoœæ;89789;121;42331;61;t0664
lubuskie;gorzowski;29415;28;13757;19;t0801
lubuskie;kroœnieñski;51218;47;24257;5;t0802
lubuskie;miêdzyrzecki;67217;59;31412;37;t0803
lubuskie;nowosolski;92063;51;41387;1;t0804
