wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;241;0;97;0;t0;133;0;0;0;11;0
dolnoœl¹skie;3846535;12534;1474227;2277;t02;1738665;1844;14775;132;618868;8281
kujawsko-pomorskie;2601186;10265;993896;2005;t04;1177458;1387;10527;51;419305;6822
lubelskie;2246517;4551;875016;913;t06;1023817;726;12173;6;335511;2906
lubuskie;1349367;4544;508958;717;t08;622661;686;4819;5;212929;3136
³ódzkie;3154438;10131;1225840;1987;t10;1418370;1278;16438;66;493790;6800
ma³opolskie;4027285;18600;1577326;4075;t12;1841669;2499;11648;141;596642;11885
mazowieckie;7649800;29557;2931078;7083;t14;3433888;4580;35530;71;1249304;17823
opolskie;1129817;3991;439906;705;t16;512419;551;3642;12;173850;2723
podkarpackie;2027243;5560;800065;1159;t18;942630;918;7099;7;277449;3476
podlaskie;1379414;3015;540388;694;t20;630890;481;5060;66;203076;1774
pomorskie;3181393;13624;1222854;2837;t22;1434310;3114;12882;17;511347;7656
œl¹skie;5698441;21997;2194203;4102;t24;2571813;2779;17504;507;914921;14609
œwiêtokrzyskie;1372730;4806;534758;934;t26;628811;661;5349;2;203812;3209
warmiñsko-mazurskie;1657233;4895;643725;919;t28;754193;798;9105;10;250210;3168
wielkopolskie;4602290;19558;1801383;4678;t30;2086289;2989;18033;25;696585;11866
zachodniopomorskie;2255862;6928;852529;1346;t32;1024409;1195;9697;9;369227;4378
ca³y kraj;48179792;174556;18616249;36431;t00;21842425;26486;194281;1127;7526837;110512
