wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;182;78;0;0;t0
dolnoœl¹skie;2577571;7925;1156121;5604;t02
kujawsko-pomorskie;1687316;4726;741547;3440;t04
lubelskie;1471211;4639;667386;3127;t06
lubuskie;869466;2352;395511;1464;t08
³ódzkie;2086628;5020;939120;3498;t10
ma³opolskie;2657506;11685;1172313;9035;t12
mazowieckie;4967738;18768;2223170;14521;t14
opolskie;773370;1601;356759;1207;t16
podkarpackie;1386757;3854;643544;2480;t18
podlaskie;931004;1564;433193;915;t20
pomorskie;2078144;8395;937455;5603;t22
œl¹skie;3834685;11633;1720999;8014;t24
œwiêtokrzyskie;894465;3086;395874;2004;t26
warmiñsko-mazurskie;1058105;4130;471114;2905;t28
wielkopolskie;2917078;13753;1280835;11436;t30
zachodniopomorskie;1462279;4913;654362;3377;t32
ca³y kraj;31653505;108122;14189303;78630;t00
