wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;5;0;1;0;t0;0;0;0;0;4;0
dolnoœl¹skie;4353721;819;1559402;86;t02;1800455;49;16696;8;977168;676
kujawsko-pomorskie;2940848;495;1053688;49;t04;1220339;30;12003;2;654818;414
lubelskie;2495553;223;916465;16;t06;1055229;31;13508;6;510351;170
lubuskie;1514244;281;539670;34;t08;645523;24;5400;0;323651;223
³ódzkie;3541228;591;1292336;33;t10;1466748;39;18815;12;763329;507
ma³opolskie;4545835;869;1662997;73;t12;1900954;79;14021;9;967863;708
mazowieckie;8637196;1822;3109378;157;t14;3560390;180;40947;31;1926481;1454
opolskie;1267114;165;464914;20;t16;530267;19;5042;0;266891;126
podkarpackie;2221371;309;834938;37;t18;970088;44;8466;6;407879;222
podlaskie;1518443;154;565192;31;t20;651376;15;6097;0;295778;108
pomorskie;3611616;744;1300995;61;t22;1492959;54;15048;2;802614;627
œl¹skie;6420317;1257;2311530;100;t24;2658785;98;20601;20;1429401;1039
œwiêtokrzyskie;1539134;201;561612;23;t26;650410;20;6248;2;320864;156
warmiñsko-mazurskie;1889262;327;684386;21;t28;786335;18;10495;0;408046;288
wielkopolskie;5330833;1140;1921345;71;t30;2234242;345;20589;8;1154657;716
zachodniopomorskie;2529611;317;899160;24;t32;1060033;28;10585;1;559833;264
ca³y kraj;54356331;9714;19678009;836;t00;22684133;1073;224561;107;11769628;7698
