wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;34129;1877;5205;569;t0
dolnoœl¹skie;1239462;33036;332614;13251;t02
kujawsko-pomorskie;769498;21078;196928;9147;t04
lubelskie;791502;21086;230539;9769;t06
lubuskie;402803;10030;108902;4915;t08
³ódzkie;1009421;28162;267662;12902;t10
ma³opolskie;1219566;35423;324614;15765;t12
mazowieckie;2277556;58622;625681;26908;t14
opolskie;388869;10967;98491;3882;t16
podkarpackie;767867;17977;223878;8769;t18
podlaskie;501730;11870;136162;5424;t20
pomorskie;1012320;30238;260794;11633;t22
œl¹skie;1767014;57862;450832;28898;t24
œwiêtokrzyskie;429907;11496;110875;4654;t26
warmiñsko-mazurskie;518695;13499;141238;6245;t28
wielkopolskie;1311415;36505;347070;14715;t30
zachodniopomorskie;703017;18653;171218;8067;t32
ca³y kraj;15144771;418381;4032703;185513;t00
