wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;12;0;4;0;t0;8;0;0;0;0;0
dolnoœl¹skie;3412315;1858;1437410;51;t02;1673796;455;17779;3;283330;1349
kujawsko-pomorskie;2298575;1576;966150;47;t04;1131639;241;12788;2;187998;1286
lubelskie;2009788;1445;843079;77;t06;988824;190;15041;37;162844;1141
lubuskie;1192686;711;492437;5;t08;594298;155;5344;1;100607;550
³ódzkie;2798938;2414;1192164;105;t10;1366610;483;19322;11;220842;1815
ma³opolskie;3585092;2304;1532032;158;t12;1771356;478;13498;8;268206;1660
mazowieckie;6748589;7580;2842346;284;t14;3286050;1214;41821;14;578372;6068
opolskie;996601;1213;425686;3;t16;491581;212;4310;8;75024;990
podkarpackie;1825179;760;774213;43;t18;907686;201;8360;0;134920;516
podlaskie;1233292;548;520838;25;t20;607386;133;5872;0;99196;390
pomorskie;2810112;2929;1189707;118;t22;1372818;460;14490;1;233097;2350
œl¹skie;5057262;3400;2140671;166;t24;2481532;520;20849;5;414210;2709
œwiêtokrzyskie;1222179;1275;518705;58;t26;607235;226;6680;0;89559;991
warmiñsko-mazurskie;1464821;813;622198;33;t28;721556;164;9770;0;111297;616
wielkopolskie;4068483;3191;1743143;168;t30;1990055;510;22259;8;313026;2505
zachodniopomorskie;1991001;1311;828059;82;t32;983675;342;10755;0;168512;887
ca³y kraj;42714925;33328;18068842;1423;t00;20976105;5984;228938;98;3441040;25823
