wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;10154;577;1290;0;
dolnośląskie;630814;17526;179891;268;t02
kujawsko-pomorskie;370300;9776;100751;275;t04
lubelskie;425668;12220;123178;326;t06
lubuskie;195447;6513;51048;60;t08
łódzkie;492655;13756;142970;245;t10
małopolskie;602511;16059;168972;378;t12
mazowieckie;1165748;31547;325868;565;t14
opolskie;185792;4691;53409;268;t16
podkarpackie;394912;10139;110400;276;t18
podlaskie;251087;6369;72423;71;t20
pomorskie;487403;11426;143065;120;t22
śląskie;822519;28137;224749;442;t24
świętokrzyskie;212798;5524;59206;86;t26
warmińsko-mazurskie;270879;7122;74275;293;t28
wielkopolskie;642041;18018;180211;335;t30
zachodniopomorskie;324436;9278;89454;260;t32
cały kraj;7485164;208678;2101160;4268;t00
