wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;6958;335;1225;1;
dolnośląskie;546902;13551;175986;1923;t02
kujawsko-pomorskie;320819;10040;99570;746;t04
lubelskie;371359;10707;120911;1271;t06
lubuskie;163540;4977;49677;387;t08
łódzkie;424982;10684;141060;850;t10
małopolskie;526408;13847;165907;851;t12
mazowieckie;1008277;28002;319792;2280;t14
opolskie;163271;4565;52093;348;t16
podkarpackie;342927;10798;108023;1320;t18
podlaskie;219221;6460;70187;969;t20
pomorskie;424966;10394;139784;1547;t22
śląskie;693074;22089;220097;1418;t24
świętokrzyskie;185661;5551;58474;362;t26
warmińsko-mazurskie;236098;7464;72153;846;t28
wielkopolskie;552897;16939;175438;1996;t30
zachodniopomorskie;275409;8646;87827;750;t32
cały kraj;6462769;185049;2058204;17865;t00
