wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;25;0;0;0;t0
dolnoœl¹skie;2664042;11512;1222331;8845;t02
kujawsko-pomorskie;1760742;9348;798798;6423;t04
lubelskie;1515947;3338;699456;2347;t06
lubuskie;897286;4670;416097;3209;t08
³ódzkie;2162193;8611;996092;6363;t10
ma³opolskie;2771248;18664;1260300;14351;t12
mazowieckie;5141798;24465;2357024;18809;t14
opolskie;793310;2452;371295;1721;t16
podkarpackie;1417044;3373;662055;1833;t18
podlaskie;951009;1088;446555;588;t20
pomorskie;2149685;8817;991613;5800;t22
œl¹skie;3964704;17502;1819866;12147;t24
œwiêtokrzyskie;929043;5331;421603;4052;t26
warmiñsko-mazurskie;1103829;4421;505560;2841;t28
wielkopolskie;3057509;21731;1389769;16931;t30
zachodniopomorskie;1508989;5454;687583;3452;t32
ca³y kraj;32788403;150777;15045997;109712;t00
