wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;8;0;2;0;t0;6;0;0;0;0;0
dolnoœl¹skie;3281388;12874;1430016;850;t02;1653405;2178;21671;236;176296;9610
kujawsko-pomorskie;2203161;8327;961144;423;t04;1117963;1411;14068;160;109986;6333
lubelskie;1930756;8884;834302;967;t06;975246;1841;17216;306;103992;5770
lubuskie;1137806;5470;489464;261;t08;580933;1235;6469;96;60940;3878
³ódzkie;2687370;10932;1185182;669;t10;1350438;1732;22882;343;128868;8188
ma³opolskie;3453056;12350;1523727;721;t12;1751333;2086;16919;259;161077;9284
mazowieckie;6461917;27196;2823775;1818;t14;3244650;4549;48570;555;344922;20274
opolskie;956829;3259;423413;188;t16;483638;692;5930;86;43848;2293
podkarpackie;1759567;7149;769523;480;t18;895248;1628;10601;131;84195;4910
podlaskie;1183623;4711;516533;473;t20;598223;1078;7370;81;61497;3079
pomorskie;2702505;10585;1183329;544;t22;1356294;1897;16685;258;146197;7886
œl¹skie;4848800;17778;2130376;888;t24;2454596;2688;22968;352;240860;13850
œwiêtokrzyskie;1173943;4593;515691;296;t26;599511;874;7373;123;51368;3300
warmiñsko-mazurskie;1412253;5526;617784;401;t28;712591;947;11504;96;70374;4082
wielkopolskie;3903892;16008;1733638;1086;t30;1960242;2743;25166;450;184846;11729
zachodniopomorskie;1905104;7938;823070;524;t32;969487;1465;11538;198;101009;5751
ca³y kraj;41001978;163580;17960969;10589;t00;20703804;29044;266930;3730;2070275;120217
